Sample_ID,Project,PRO.mL,SYN.mL,PEUK.mL,HBACT.mL,chla.ug.per.L,SW.Temperature.at.site,Salinity,pH,Silicate,NitrateNitrite,Phosphate,Ammonia,Depth,Universal_Sample_ID,lln_micro,llp_micro,kmeansruns,kmeansruns_cat,Metagenome_ID,Metagenome,latitude,longitude,Site,Date,Metagenome_Deeply_Sequenced
ALOHA_1,Aloha,233900,600,500,462300,0.1,26.9849,34.9184,8.084,1.82,0.04,0.03,NA,5,NA,0.0039,0.044,1,Offshore,NA,NA,22.45,-158,Aloha,8/8/17,NA
ALOHA_2,Aloha,165900,1300,700,568100,0.07,26.7855,35.0862,8.084,2.2,0.07,0.03,NA,6.9,NA,0.0052,0.0146,1,Offshore,NA,NA,22.45,-158,Aloha,10/6/17,NA
ALOHA_3,Aloha,198100,9100,700,460200,0.11,26.0662,35.0373,8.079,2.06,0.05,0.03,NA,8.1,NA,0.0037,0.0244,1,Offshore,NA,NA,22.45,-158,Aloha,11/8/17,NA
ALOHA_4,Aloha,230500,2900,1400,464200,0.12,24.2506,35.0697,8.067,1.35,0.06,0.01,NA,5.1,NA,0.0025,0.0283,1,Offshore,NA,NA,22.45,-158,Aloha,12/12/17,NA
ALOHA_5,Aloha,182000,4000,2000,410900,0.12,23.1339,35.0396,8.056,1.31,0.01,0.03,NA,5.2,NA,0.0048,0.0479,1,Offshore,NA,NA,22.45,-158,Aloha,2/25/18,NA
ALOHA_6,Aloha,201400,2600,2200,527000,0.08,23.6114,35.0619,8.045,1.25,0.05,0.07,NA,6,NA,0.0013,0.0352,1,Offshore,NA,NA,22.45,-158,Aloha,4/17/18,NA
ALOHA_7,Aloha,188000,1500,1100,446400,0.09,24.35,34.8087,8.057,1.85,0,0.09,NA,5.9,NA,0.0015,0.0752,1,Offshore,NA,NA,22.45,-158,Aloha,5/15/18,NA
ALOHA_8,Aloha,208100,1100,700,416300,0.07,25.7428,34.9709,8.067,0.83,0.07,0.04,NA,6.2,NA,0.0018,0.0459,1,Offshore,NA,NA,22.45,-158,Aloha,7/24/18,NA
ALOHA_9,Aloha,192900,1400,800,501800,0.05,27.1003,34.5855,8.079,2.05,0.08,0.1,NA,7,NA,0.0034,0.086,1,Offshore,NA,NA,22.45,-158,Aloha,9/10/18,NA
ALOHA_10,Aloha,190500,1600,700,424100,0.1,25.6176,35.1159,8.06,1.19,0,0.03,NA,6.6,NA,0.0037,0.0117,1,Offshore,NA,NA,22.45,-158,Aloha,11/16/18,NA
ALOHA_11,Aloha,273700,2100,1400,567800,0.11,24.3177,34.9239,8.069,0.99,0.13,0.06,NA,6.8,NA,0.0025,0.041,1,Offshore,NA,NA,22.45,-158,Aloha,1/15/19,NA
ALOHA_12,Aloha,225800,1200,1400,502000,0.08,24.3187,34.7409,8.054,1.26,0.03,0.07,NA,5,NA,0.004,0.0801,1,Offshore,NA,NA,22.45,-158,Aloha,5/2/19,NA
ALOHA_13,Aloha,187200,900,900,479400,0.06,26.1121,34.716,8.062,0.99,0.02,0.08,NA,5.3,NA,0.0023,0.0742,1,Offshore,NA,NA,22.45,-158,Aloha,6/11/19,NA
ALOHA_14,Aloha,195100,2000,1400,587600,0.07,26.7766,34.5716,8.075,0.94,0.05,0.08,NA,5.6,NA,0.0038,0.0615,1,Offshore,NA,NA,22.45,-158,Aloha,7/1/19,NA
ALOHA_15,Aloha,198100,700,700,606200,0.09,26.8742,34.5511,8.075,0.59,0.09,0.09,NA,5.3,NA,0.0048,0.084,1,Offshore,NA,NA,22.45,-158,Aloha,8/2/19,NA
ALOHA_16,Aloha,194000,600,1000,631100,0.06,28.047,34.6721,8.084,1.09,0.1,0.06,NA,5.4,NA,0.0048,0.041,1,Offshore,NA,NA,22.45,-158,Aloha,9/4/19,NA
ALOHA_17,Aloha,204600,500,700,498300,0.12,27.2815,34.9559,8.086,2.78,0.02,0.01,NA,4.7,NA,0.0046,0.0127,1,Offshore,NA,NA,22.45,-158,Aloha,10/17/19,NA
ALOHA_18,Aloha,198500,1600,1100,397700,0.1,25.8166,34.7224,8.073,1.42,0.03,0.06,NA,4.8,NA,0.006,0.0674,1,Offshore,NA,NA,22.45,-158,Aloha,12/19/19,NA
ALOHA_19,Aloha,279700,2600,1100,555500,0.11,24.3833,34.9942,8.066,0.97,0,0.04,NA,24.6,NA,0.0265,0.0352,1,Offshore,NA,NA,22.45,-158,Aloha,1/15/19,NA
ALOHA_20,Aloha,156600,2200,1500,405100,0.1,23.2054,34.8589,8.052,0.99,0.03,0.08,NA,23.9,NA,0.0021,0.083,1,Offshore,NA,NA,22.45,-158,Aloha,2/20/19,NA
ALOHA_21,Aloha,201600,500,600,503000,0.12,27.2964,34.9542,8.085,0.99,0,0.02,NA,24.6,NA,0.0053,0.0137,1,Offshore,NA,NA,22.45,-158,Aloha,10/17/19,NA
