samples	FZCC0015	HIMB122	HIMB1321	HIMB140	HIMB1402	HIMB1409	HIMB1412	HIMB1413	HIMB1420	HIMB1427	HIMB1430	HIMB1436	HIMB1437	HIMB1444	HIMB1456	HIMB1483	HIMB1485	HIMB1488	HIMB1490	HIMB1491	HIMB1493	HIMB1494	HIMB1495	HIMB1505	HIMB1506	HIMB1507	HIMB1509	HIMB1513	HIMB1518	HIMB1520	HIMB1521	HIMB1526	HIMB1527	HIMB1542	HIMB1549	HIMB1552	HIMB1556	HIMB1559	HIMB1564	HIMB1573	HIMB1577	HIMB1587	HIMB1593	HIMB1597	HIMB1611	HIMB1623	HIMB1631	HIMB1636	HIMB1641	HIMB1662	HIMB1685	HIMB1695	HIMB1701	HIMB1702	HIMB1709	HIMB1710	HIMB1715	HIMB1723	HIMB1746	HIMB1748	HIMB1758	HIMB1765	HIMB1770	HIMB1782	HIMB1863	HIMB2104	HIMB2187	HIMB2200	HIMB2201	HIMB2204	HIMB2211	HIMB2215	HIMB2226	HIMB2250	HIMB2305	HIMB4	HIMB5	HIMB83	HTCC1002	HTCC1013	HTCC1016	HTCC1040	HTCC1062	HTCC7211	HTCC7214	HTCC7217	HTCC8051	HTCC9022	HTCC9565	NP1	RS39	RS40	__splits_not_binned__
HOT_224_25M	3.0293002090586136	0.06445516504702055	0.12759210078005256	0.06938298411270212	4.54896674173015	3.974824752218713	0.16590470796132423	4.470352370430563	0.15294675341293593	0.12619778418112684	0.05646303537670918	6.405080464940579	5.0664807013870785	4.028418431039844	3.380953697203446	1.1645224899507738	0.13000149696049584	0.08571560726351703	0.05248476739325924	0.047416104252897065	0.029747758692263957	0.06566319075875443	0.062294876146516416	0.0819508303804017	0.06759248923035314	0.06762193549569435	0.11721488197021371	0.04059585446986572	0.036799749445617	0.16180445234352286	0.05066158635802883	0.03697008493046981	0.11898407288414213	0.05557953725037035	0.11787812222318346	0.03301698469810616	0.02286600157060769	0.05781640585417091	0.13297999106057345	0.09294223981697836	0.06368747420677064	0.0569578860132036	0.10785124157051618	0.03958551473875883	0.030029891773455202	0.131318007797809	0.0625235779921697	0.02140608448452745	0.020173022834890537	0.059520549453715675	0.09669413611456558	0.10232846421742545	0.08062083919814131	0.05036015907302936	0.12307119249495888	0.0406235043724845	0.08290423315575275	0.06365390385236497	0.06677604317693736	0.02552933366254855	0.03296265218173918	0.10343139183467782	0.033529162055720464	0.07438123869537573	4.865435373430537	5.144082699321685	4.176321594344007	4.393749662706849	4.407818308557391	4.367820756578929	0.07925439894897031	4.618372564589373	4.551020013455178	4.211638163423428	5.0563742343991525	0.07870663331229949	0.15867431915008617	2.609217915421662	0.05667438801341804	0.049804778081678956	0.046082191199607575	0.050824378646943814	0.0426602406932625	0.30375378826423466	0.3114227140857678	0.327388649921968	0.28341456335189297	0.2645924903996201	0.1351237186072692	0.11712933039400017	2.7781299033959046	6.346151312071842	0.0
HOT_225_25M	2.9072978486723513	0.05692789318614902	0.11345817166950299	0.06730292276089053	4.619631137104498	3.822107006329951	0.16565417088625928	4.333844665377652	0.14326563440368997	0.11913320795946143	0.053556329549774656	6.534903826749353	5.150056567765363	3.7953391848841957	3.26472612028816	1.081551286993756	0.12631218659940535	0.09183243178206452	0.05099916521895157	0.051669382172619266	0.03425371771659767	0.06057786460460804	0.06890978918551259	0.08353292884103676	0.06443357744947767	0.06465557770903342	0.10994566862819419	0.04437559234492096	0.034448021713062896	0.15830552019925465	0.04963499014303545	0.03372686618499788	0.11052916866979781	0.05618708154382729	0.11502037804918805	0.03316302872679431	0.02546632457291082	0.0564182228495018	0.1345754897707063	0.08196905257883756	0.06600879573739735	0.057931855419934335	0.11119647207155227	0.036000027471602636	0.02830200357252292	0.13161036390615852	0.06020197484841732	0.02163020939360533	0.02286802829890025	0.05563732644912206	0.09402336804831471	0.10111239622010867	0.06994963556842952	0.047813069878393955	0.11686146935731882	0.03817268190127733	0.0894120071773452	0.06247016056620641	0.06405611725663216	0.03016030717452168	0.03151668909860201	0.09437027062378285	0.033658676655653856	0.07305840295798073	4.876906658372769	5.089346747736848	4.235594384491721	4.4132307440679135	4.271742601126309	4.368176786672611	0.07056992490564495	4.648453881770865	4.666558736829852	4.062143181145351	5.440167651646045	0.07306690188491245	0.15749429695160785	2.5124629660871998	0.048120201885526334	0.046978842731372976	0.04694550562710892	0.04916641485051511	0.0430907628419031	0.3060052022694134	0.289509622152156	0.31193840015888114	0.2756457889617179	0.2519456092452064	0.11936241271767045	0.11725865291099095	2.790903733410037	6.909493075058836	0.0
HOT_226_25M	3.4867111431790208	0.10044185720863094	0.1877872504263126	0.09857916254429641	3.9404697852697037	4.651127073539189	0.24256116314541076	5.283349194100402	0.22811580653085947	0.17676479705354953	0.07828543310842448	6.767486614280398	3.939928911182101	4.286635822795578	3.917116664216036	1.1845456893835837	0.1583801683252403	0.1389151234468318	0.07999649933421578	0.08583584405466593	0.06563458806441558	0.10298515939947304	0.09365109470687971	0.11407732656643274	0.09809969921091255	0.10708649091117556	0.17108187198125072	0.07090873651346577	0.07242132289678574	0.22235228796470327	0.08758612629148843	0.06443020803785218	0.15576087174824216	0.08403611197309789	0.14850777460444595	0.06727314959470213	0.04174118616157598	0.10051498930545828	0.18785734676092028	0.1316365356984701	0.11632951560979748	0.09163486955518012	0.15385881857246164	0.06560100579510322	0.05542045917548773	0.18385016885460984	0.10720577345584684	0.04448879572929494	0.04189691397438721	0.08259300539709916	0.1222841164331386	0.13122106867970137	0.1074592008745457	0.07985386323660193	0.15444110340237283	0.07003358874375656	0.1188947900701778	0.08269363134812477	0.095652668408922	0.0656268873951753	0.056710743720261206	0.14243645265844102	0.065336619868858	0.09649883042188642	3.6458111507874222	3.9447391551783717	4.379085215619251	3.3404090154313897	5.048182444713856	3.4411667117888443	0.11557938925324963	3.4928085398412234	4.868238483801681	4.789521765138436	4.7468681197443905	0.11035062642909563	0.24228344645360408	3.0108497589610916	0.09582671857604455	0.0976900193934919	0.08392183840035138	0.09022654023461206	0.09385809977345654	0.3275569102846966	0.32093734815618313	0.35924054156631324	0.3057648881011578	0.2989150198813831	0.1713083799100739	0.1639165638219409	2.953529802368806	5.908713733492036	0.0
HOT_227_25M	3.1825868734790053	0.10915636228214348	0.20763584543778554	0.1034769746547172	4.55540133525023	4.127269290423587	0.2729392099635149	4.558672635919639	0.2579148973637261	0.1815255267442032	0.08194009429656743	5.438326243731239	4.468639982856316	3.944479691185195	3.504773978403637	1.4321724727106513	0.18098453977876686	0.13891363486191802	0.08808511130882753	0.08657987057030532	0.0673408798649876	0.09913650324820195	0.1050582217133448	0.13960120446966082	0.10463049023781745	0.10700845838344505	0.18200734602412422	0.07633325661097985	0.07929206305466557	0.26250052650400774	0.09284586293814182	0.06939987078629503	0.19203959435073456	0.09064352160098216	0.17398707269926877	0.06663374839297723	0.04767927762534758	0.09790940004151727	0.21903994095725698	0.15161540571118434	0.11035948147682834	0.10129751719424525	0.17223751090355674	0.06535267596586887	0.052548876420766805	0.18423984608192837	0.1190301658076152	0.05491635337379757	0.044157518136382044	0.0866682076497727	0.12153577578497693	0.135835326673053	0.11222728334899654	0.08120169513135331	0.1724784739136499	0.07067942934867365	0.13985252116823405	0.09677065100985538	0.10372585751075267	0.05898426076663829	0.054090339609605145	0.15398342859232425	0.06806866780064155	0.10402943047909136	4.243899981797	4.553576623390754	3.6220885997419687	3.89637670361191	4.554785678224485	3.9646932273830653	0.11866052002539763	4.116348346911253	4.0574905523402744	4.404206015000068	5.773574263912636	0.1255949091676863	0.2810110996748588	2.784518872538011	0.10618241409819142	0.09411649797001605	0.08952601566170162	0.09074903631345266	0.08623770075395085	0.4039654974420217	0.3929915170304475	0.4242662049006292	0.4053632691791864	0.3730550678025166	0.20291254819360713	0.18154661089528393	2.505892337676944	6.3359213777771775	0.0
HOT_229_25M	5.647637021347756	0.08454328285049797	0.13946031500746503	0.09535404399014714	2.550772810285008	6.471841925241658	0.16920049414813546	7.815185748282648	0.15712161890483126	0.1319041190350099	0.07111200050012206	5.5877875426549775	2.4687857513847082	5.841607565239646	6.662248423030755	1.9240796338870463	0.2216828869752742	0.11703699421804319	0.07066479862439935	0.06389615336425199	0.0432156145004039	0.0863296704446324	0.09564682874987494	0.08946792145167698	0.09834793324895273	0.09468090235244553	0.16679701609569783	0.060056950966454116	0.0494594937132012	0.16633419336054472	0.0659069578482065	0.04312635097094352	0.12939958174094296	0.08152768948314731	0.14288901241110682	0.04018463489333887	0.025037613594371805	0.08494920320336424	0.13523215240043135	0.12781610587483336	0.08628463996479026	0.07860353557481856	0.16103170130030564	0.060037277967326955	0.04109851301450255	0.18736142541190826	0.08415834394177325	0.0233366322404765	0.029097205627955435	0.076871024797705	0.13550328725631838	0.14647327386052184	0.11103341216818247	0.07531673944958188	0.15569584756191318	0.0452355973461287	0.12567396360346078	0.09238512041243604	0.08920349526762836	0.033031382028784216	0.042802670804321215	0.14276035057415798	0.043313054575254924	0.10174673334801025	2.5185475711193495	2.616190651144978	3.71001595045718	2.2087221824735765	7.142948737728551	2.3246134999872545	0.09696592084904788	2.4179545968073373	3.97362300774345	7.446298546920369	2.3769019880493425	0.08871960259450912	0.1670329791397445	4.910967382428452	0.05811540456373419	0.04989042294524407	0.047019653776434286	0.05008003840091049	0.044806301455022825	0.35746239269312857	0.3474290878608373	0.36263823077335416	0.3384408054740768	0.2780593327572999	0.14340539336846989	0.11896448610282652	2.485070768561053	3.032730879449417	0.0
HOT_231_25M	4.469696764722201	0.08483633857241324	0.19352378072172993	0.09624743780563204	2.86698130923071	5.583136067128418	0.2270641178945433	6.3446228713561466	0.21218850699157474	0.17083729948456844	0.08029323195739063	7.412997023754572	2.8639861879940334	5.2840598948869095	5.112917672893358	1.927897829138642	0.19180702282491485	0.128943714583885	0.08205264082633602	0.0665948728163271	0.042862082226709154	0.08955874552244282	0.08966973994333205	0.12975514716038464	0.09513278550054566	0.093094301711774	0.1674518207762633	0.0564436821069996	0.04994698919896375	0.21033859482223985	0.07361462200771915	0.04907120531104575	0.16794350461404495	0.08094349671137223	0.1801576946288433	0.05506874032071104	0.030034482320859354	0.08741013011284869	0.1828462436487868	0.12358874731728513	0.09634382886253606	0.07965516336380304	0.1639183119358479	0.05828475921245395	0.042957551059341945	0.18909605054550738	0.09308649715017757	0.03228946484437325	0.031744031042203545	0.07816946299901721	0.12986736630037693	0.14391765203079818	0.11226117137952336	0.06713149259186096	0.1726230763609917	0.05146232248133673	0.12422679145155625	0.09582809162311673	0.09447974511216026	0.039869247189237844	0.046829719975288765	0.14408351774362213	0.04634304249226695	0.10066822230725343	2.835471838745386	3.0406580081907344	5.047456266186763	2.6155026046150613	6.117639225749061	2.7286977342097334	0.1104478637535575	2.7344699895951727	5.380770235194836	6.099704595409689	2.475173766388578	0.12416468413784477	0.21706812261978664	3.865323570296734	0.0778299790353961	0.07105617295499161	0.06334384842180611	0.0707965405142036	0.05565028623946522	0.41807185493399446	0.42857724089067556	0.43518393471549194	0.4054314241010888	0.3647957555754238	0.18235149015319024	0.15367807046956566	3.494830263718666	2.695100711580992	0.0
HOT_232_25M	3.9668467571893813	0.07638358697549476	0.16877479937738427	0.09180911435451533	3.7726151439353917	4.9039478923900495	0.20846428129429206	5.9581306728516825	0.18703219157439024	0.16215709055077068	0.06596656215544366	6.554731725994134	3.7614898780203827	4.360439606363778	4.552900971508947	1.9903218990504234	0.16903422581915287	0.11770987156759986	0.07065161428872208	0.05950516194205298	0.040276322855515675	0.08323429060439161	0.08612260130578614	0.10835235727929388	0.09071966581285157	0.08288480697172601	0.15392098308838043	0.05314021295712179	0.04605685157173914	0.19678195220589492	0.06544816072317414	0.044718001921561286	0.15591246099639686	0.07354373077271882	0.15593481119633923	0.043208241382651086	0.02755757017661857	0.07606100311517337	0.16952024730682713	0.11334510706865934	0.08581019068821041	0.0712167633651747	0.14355117369527215	0.048350163525905585	0.03943058200969773	0.17086735166649006	0.08004038643835608	0.02587344257332253	0.027908650074945668	0.07049622226361443	0.12923167499328184	0.12635421499665742	0.1013160440521006	0.06168526147268069	0.15332656886585655	0.04765407306885945	0.10730371979764533	0.0839678599848906	0.08131947714525245	0.0353719571968055	0.04415449260278745	0.1354547704617403	0.04130791760183546	0.09325224705212383	3.7941853401354115	4.065489432261907	4.420793080577854	3.3662691803906584	5.384049683809451	3.506370334930189	0.09528991276662006	3.6681317440846515	4.657023084604344	5.338216974381606	3.431310755817171	0.0997890405814696	0.1960585368793266	3.4056823258199858	0.06756542185568777	0.05787932946483961	0.055201476201066114	0.05766712922015495	0.04936332879467417	0.33374571890902843	0.34887404382020487	0.35674671749424297	0.32282630028815973	0.29719719964532276	0.15629571716073234	0.13695013806406464	2.932694336135728	4.3274360837951695	0.0
HOT_233_25M	3.316028153804114	0.06027905362695332	0.11948672839693725	0.0711613967434323	4.615648683734715	4.429473291116511	0.15599280727113346	4.988391046452881	0.1412993283404298	0.1204130038614749	0.05173239053298164	6.435545696258718	4.803752806731925	4.329375974729299	3.7006682829439117	1.1856287318328544	0.13219041001440185	0.08617585554543261	0.05196060241239551	0.04676870218679088	0.0311524033681369	0.06280864657799508	0.06534487233384571	0.078627532403628	0.06265383004619204	0.0700788661089607	0.12332344310429603	0.039640198449993246	0.03421153692388199	0.14235428538503908	0.04987912012030278	0.0348695312080549	0.10689878971840308	0.059135423779709574	0.11058272700768339	0.03509626389850663	0.021204471485768494	0.05762401993173014	0.12173635946363434	0.0850657865880431	0.06080164483899284	0.05556011691769854	0.11073351811459951	0.037394219808638975	0.02976109746726106	0.1291657167856214	0.06294896819748551	0.020047992766894035	0.022301651123349187	0.05489993207269963	0.0959053047388839	0.09944891285094025	0.08113031629851368	0.0499204700846111	0.12278770311457644	0.03654646543928356	0.0827063686084562	0.06251715373854799	0.06640345653763836	0.025921311683915163	0.029833947467553506	0.09460610139519414	0.031166332101274216	0.07344589795816824	4.84977748608408	5.165524935158927	4.455587794419051	4.372118569910122	4.842986419714538	4.462615005700334	0.07625902044964085	4.67088334369639	4.683568312834301	4.717249703019217	3.700138655005232	0.0763127695398543	0.15445359912780293	2.8245672891260343	0.04802209883687306	0.04280431469912846	0.04177922968109941	0.042996829239056046	0.040456966963946975	0.277701223677391	0.27216039588080093	0.2825970168647116	0.2604371055674567	0.2418373947197652	0.11450994231584233	0.10114085403602924	2.8950214397157277	4.516276629464691	0.0
HOT_234_25M	3.341677807880605	0.05410236974980101	0.09944854984391803	0.061306210438394494	4.93093315702811	4.364010718102748	0.12896867547953533	5.300547831089113	0.11826765710760866	0.09854535274218944	0.049869874279473696	5.3639640016649945	5.027724570248542	4.0220195476982425	3.8430037525832925	1.18913942681126	0.1269618858328131	0.08141037443517807	0.0469099084595533	0.041852180108440905	0.030057014464173987	0.05998425107642189	0.06169920177027405	0.06277462357986789	0.060460214337989156	0.06261281103756478	0.11254108493988571	0.03635744527429609	0.032636884857914744	0.1264627308433911	0.04773911706987665	0.029285622007297084	0.09262131235347947	0.051602618352541006	0.0904337519014599	0.03147809290310938	0.01725232428595884	0.053397398278349786	0.10734775493207187	0.081102410051221	0.058344775910293294	0.05359996222503884	0.10036528844193635	0.03482205867388624	0.025644550484422234	0.11807494394743696	0.06044108606480816	0.019382145936399368	0.01997930095241554	0.05128251806823886	0.09037881870236124	0.08768135629470228	0.07214923841155053	0.04261845187160452	0.10446235450053308	0.03156720309815588	0.07698780835415982	0.054534268212871585	0.0626345888859994	0.02397547051417588	0.02985114135679916	0.09265680945906489	0.02898568146250985	0.06773285585371361	4.971622253763451	5.364132426724096	3.475097636664116	4.4680250511674195	4.965945465309253	4.5021668714858025	0.06814245442250469	4.719296719840602	3.811653214792015	4.662317679692183	4.684601167910735	0.062151024689350985	0.12887144034971587	2.872270972483582	0.041117810721969544	0.036462547877247176	0.03591674208429025	0.036013214652767765	0.03253221752174848	0.22443476835413606	0.22439679084188394	0.23552566480210657	0.2095042345403556	0.18550391609683264	0.09026134490221106	0.08458294527046382	2.2028013571085694	6.657988872346553	0.0
HOT_236_25M	4.3767742807010865	0.07030097238793177	0.14469363068606486	0.07717390648987871	3.0131650413610322	5.65936712722853	0.4978105877909852	6.674515875901377	0.28679451779332754	0.19826842087526123	0.06051938949772569	6.7909629133750675	3.050974775701954	5.198937717927616	5.102194206884641	1.6293104248198185	0.15635856523512898	0.10287338491800345	0.05885913411816645	0.049413061459759364	0.03521335797524487	0.06969920550681438	0.07114846631422363	0.08857958640605416	0.08032639127790853	0.07461404267710874	0.1457077078920482	0.04420446174592169	0.04495150941001187	0.23203969618006406	0.05679065499913688	0.03685159917818233	0.1293655139957549	0.062358920053682605	0.13218086281814076	0.035743516032703225	0.02284945037862495	0.06884289851666504	0.19676273849151293	0.10236251595800053	0.07637767786236448	0.06579122664039747	0.12230021188153439	0.04326150381770459	0.03457082494595185	0.14632948728864215	0.06649638157048583	0.023372261444056977	0.02376147755442659	0.06756318608887805	0.10312261752023526	0.10798844027837617	0.09374919726011523	0.052620056727310745	0.13352780340703574	0.038507871273682104	0.10153853586399893	0.07219212433345218	0.0729190802987783	0.02702903404390462	0.034850457647571303	0.1161245085037535	0.037470662393383335	0.08029048689840754	3.2651362759788127	3.4445236984814502	4.483501306299206	2.8657147444023194	6.153901544153203	3.009808749446895	0.09520484694253067	3.0808464523928363	4.876154689217845	6.132953308607078	3.1971426336907016	0.09478225256233531	0.22250622820897825	3.807377439803372	0.058281186240117265	0.053794347534506334	0.0496644249747541	0.04800073532910605	0.04401505893564108	0.2719866015946795	0.27879979087725615	0.2946894611151541	0.2572193583410351	0.23834744567039617	0.13056471008909218	0.11279248664641517	2.825100151122072	3.93557392483663	0.0
