gene_cluster_id	Pangenome	Environment	Enviro_Specific
GC_00000001	Core	NA	NA
GC_00000002	Core	NA	NA
GC_00000003	Core	NA	NA
GC_00000004	Core	NA	NA
GC_00000007	Core	NA	NA
GC_00000008	Core	NA	NA
GC_00000009	Core	NA	NA
GC_00000010	Core	NA	NA
GC_00000012	Core	NA	NA
GC_00000013	Core	NA	NA
GC_00000014	Core	NA	NA
GC_00000016	Core	NA	NA
GC_00000017	Core	NA	NA
GC_00000018	Core	NA	NA
GC_00000019	Core	NA	NA
GC_00000020	Core	NA	NA
GC_00000021	Core	NA	NA
GC_00000023	Core	NA	NA
GC_00000024	Core	NA	NA
GC_00000025	Core	NA	NA
GC_00000026	Core	NA	NA
GC_00000027	Core	NA	NA
GC_00000028	Core	NA	NA
GC_00000029	Core	NA	NA
GC_00000030	Core	NA	NA
GC_00000031	Core	NA	NA
GC_00000032	Core	NA	NA
GC_00000033	Core	NA	NA
GC_00000034	Core	NA	NA
GC_00000035	Core	NA	NA
GC_00000037	Core	NA	NA
GC_00000038	Core	NA	NA
GC_00000039	Core	NA	NA
GC_00000040	Core	NA	NA
GC_00000042	Core	NA	NA
GC_00000043	Core	NA	NA
GC_00000044	Core	NA	NA
GC_00000045	Core	NA	NA
GC_00000046	Core	NA	NA
GC_00000047	Core	NA	NA
GC_00000048	Core	NA	NA
GC_00000049	Core	NA	NA
GC_00000050	Core	NA	NA
GC_00000051	Core	NA	NA
GC_00000052	Core	NA	NA
GC_00000053	Core	NA	NA
GC_00000054	Core	NA	NA
GC_00000055	Core	NA	NA
GC_00000056	Core	NA	NA
GC_00000057	Core	NA	NA
GC_00000058	Core	NA	NA
GC_00000059	Core	NA	NA
GC_00000060	Core	NA	NA
GC_00000061	Core	NA	NA
GC_00000062	Core	NA	NA
GC_00000063	Core	NA	NA
GC_00000064	Core	NA	NA
GC_00000065	Core	NA	NA
GC_00000066	Core	NA	NA
GC_00000067	Core	NA	NA
GC_00000068	Core	NA	NA
GC_00000069	Core	NA	NA
GC_00000070	Core	NA	NA
GC_00000071	Core	NA	NA
GC_00000072	Core	NA	NA
GC_00000073	Core	NA	NA
GC_00000074	Core	NA	NA
GC_00000075	Core	NA	NA
GC_00000076	Core	NA	NA
GC_00000077	Core	NA	NA
GC_00000078	Core	NA	NA
GC_00000079	Core	NA	NA
GC_00000080	Core	NA	NA
GC_00000081	Core	NA	NA
GC_00000082	Core	NA	NA
GC_00000083	Core	NA	NA
GC_00000084	Core	NA	NA
GC_00000085	Core	NA	NA
GC_00000086	Core	NA	NA
GC_00000087	Core	NA	NA
GC_00000088	Core	NA	NA
GC_00000089	Core	NA	NA
GC_00000090	Core	NA	NA
GC_00000092	Core	NA	NA
GC_00000093	Core	NA	NA
GC_00000094	Core	NA	NA
GC_00000095	Core	NA	NA
GC_00000096	Core	NA	NA
GC_00000097	Core	NA	NA
GC_00000098	Core	NA	NA
GC_00000099	Core	NA	NA
GC_00000100	Core	NA	NA
GC_00000101	Core	NA	NA
GC_00000102	Core	NA	NA
GC_00000103	Core	NA	NA
GC_00000104	Core	NA	NA
GC_00000105	Core	NA	NA
GC_00000106	Core	NA	NA
GC_00000107	Core	NA	NA
GC_00000108	Core	NA	NA
GC_00000109	Core	NA	NA
GC_00000110	Core	NA	NA
GC_00000111	Core	NA	NA
GC_00000112	Core	NA	NA
GC_00000113	Core	NA	NA
GC_00000114	Core	NA	NA
GC_00000115	Core	NA	NA
GC_00000116	Core	NA	NA
GC_00000117	Core	NA	NA
GC_00000118	Core	NA	NA
GC_00000119	Core	NA	NA
GC_00000120	Core	NA	NA
GC_00000121	Core	NA	NA
GC_00000122	Core	NA	NA
GC_00000123	Core	NA	NA
GC_00000124	Core	NA	NA
GC_00000125	Core	NA	NA
GC_00000126	Core	NA	NA
GC_00000127	Core	NA	NA
GC_00000128	Core	NA	NA
GC_00000129	Core	NA	NA
GC_00000131	Core	NA	NA
GC_00000132	Core	NA	NA
GC_00000133	Core	NA	NA
GC_00000134	Core	NA	NA
GC_00000135	Core	NA	NA
GC_00000136	Core	NA	NA
GC_00000137	Core	NA	NA
GC_00000138	Core	NA	NA
GC_00000139	Core	NA	NA
GC_00000140	Core	NA	NA
GC_00000141	Core	NA	NA
GC_00000142	Core	NA	NA
GC_00000143	Core	NA	NA
GC_00000144	Core	NA	NA
GC_00000145	Core	NA	NA
GC_00000146	Core	NA	NA
GC_00000147	Core	NA	NA
GC_00000148	Core	NA	NA
GC_00000149	Core	NA	NA
GC_00000150	Core	NA	NA
GC_00000151	Core	NA	NA
GC_00000152	Core	NA	NA
GC_00000153	Core	NA	NA
GC_00000154	Core	NA	NA
GC_00000155	Core	NA	NA
GC_00000156	Core	NA	NA
GC_00000157	Core	NA	NA
GC_00000158	Core	NA	NA
GC_00000159	Core	NA	NA
GC_00000160	Core	NA	NA
GC_00000161	Core	NA	NA
GC_00000162	Core	NA	NA
GC_00000163	Core	NA	NA
GC_00000164	Core	NA	NA
GC_00000165	Core	NA	NA
GC_00000166	Core	NA	NA
