KOfam	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ia.1.I	p_Ib.1	p_Ia.4.II	p_Ia.4.RS39	p_Ia.4.1483	p_Ia.3.V	p_Ia.3.IV	p_Ia.3.III	p_Ia.3.I	p_Ia.3.II	p_Ia.3.VI	N_Ia.1.I	N_Ib.1	N_Ia.4.II	N_Ia.4.RS39	N_Ia.4.1483	N_Ia.3.V	N_Ia.3.IV	N_Ia.3.III	N_Ia.3.I	N_Ia.3.II	N_Ia.3.VI
S-formylglutathione hydrolase [EC:3.1.2.12]	92.0239150225487	2.1237060810774107e-15	5.0376529550956324e-14	Ia.3.I	K01070	GC_00002770	0	0	0	0	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
methanethiol oxidase [EC:1.8.3.4]	92.0239150225487	2.1237060810774107e-15	5.0376529550956324e-14	Ia.3.I	K17285	GC_00002603	0	0	0	0	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	92.0239150225487	2.1237060810774107e-15	5.0376529550956324e-14	Ia.3.I	K00121	GC_00002860	0	0	0	0	0	0	0	0	1	0	0	7	2	7	4	1	8	2	5	3	6	47
glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]	92.00578431909418	2.141395583728641e-15	5.0376529550956324e-14	Ib.1, Ia.3.IV, Ia.3.III, Ia.3.I, Ia.3.II, Ia.3.VI	K12972	GC_00001139	0	1	0	0	0	0	1	1	1	1	1	7	2	7	4	1	8	2	5	3	6	47
CBS domain-containing protein	92.00247510516064	2.1446401005392125e-15	5.0376529550956324e-14	Ia.3.III	K07182	GC_00002228	0	0	0	0	0	0	0	1	0	0	0	7	2	7	4	1	8	2	5	3	6	47
RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]	92.00247510516064	2.1446401005392125e-15	5.0376529550956324e-14	Ia.3.III	K13821	GC_00002254	0	0	0	0	0	0	0	1	0	0	0	7	2	7	4	1	8	2	5	3	6	47
methylamine---glutamate N-methyltransferase subunit C [EC:2.1.1.21]	92.00247510516047	2.14464010053938e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K22083	GC_00000006	1	1	1	1	1	1	1	0	1	1	1	7	2	7	4	1	8	2	5	3	6	47
methylamine---glutamate N-methyltransferase subunit B [EC:2.1.1.21]	92.00247510516047	2.14464010053938e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K22082	GC_00000928, GC_00001391	1	1	1	1	1	1	1	0	1	1	1	7	2	7	4	1	8	2	5	3	6	47
trimethylamine monooxygenase [EC:1.14.13.148]	92.00247510516047	2.14464010053938e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K18277	GC_00000941	1	1	1	1	1	1	1	0	1	1	1	7	2	7	4	1	8	2	5	3	6	47
methylamine---glutamate N-methyltransferase subunit A [EC:2.1.1.21]	92.00247510516047	2.14464010053938e-15	5.0376529550956324e-14	Ia.1.I, Ib.1, Ia.4.II, Ia.4.RS39, Ia.4.1483, Ia.3.V, Ia.3.IV, Ia.3.I, Ia.3.II, Ia.3.VI	K22081	GC_00000932, GC_00001390	1	1	1	1	1	1	1	0	1	1	1	7	2	7	4	1	8	2	5	3	6	47
