Func_Cluster_id	Pangenome	Environment	Enviro_specific
func_25266fa5ee6a	Core_Pelagibacteraceae	NA	NA
func_39d90c80cdc4	Core_Pelagibacteraceae	NA	NA
func_c49c5696ce36	Core_Pelagibacteraceae	NA	NA
func_7a8d9d8abe21	Core_Pelagibacteraceae	NA	NA
func_860d49048101	Core_Pelagibacteraceae	NA	NA
func_a0cf13eafdd7	Core_Pelagibacteraceae	NA	NA
func_de5005290fc4	Core_Pelagibacteraceae	NA	NA
func_4d178a157924	Core_Pelagibacteraceae	NA	NA
func_5f6db806468d	Core_Pelagibacteraceae	NA	NA
func_3f39498a12ce	Core_Pelagibacteraceae	NA	NA
func_f7082aed81fc	Core_Pelagibacteraceae	NA	NA
func_f7f6a72a621b	Core_Pelagibacteraceae	NA	NA
func_62d71552501f	Core_Pelagibacteraceae	NA	NA
func_2943b059508d	Core_Pelagibacteraceae	NA	NA
func_7e842b872d81	Core_Pelagibacteraceae	NA	NA
func_abe31ba0e1d2	Core_Pelagibacteraceae	NA	NA
func_7b7f2963fc7f	Core_Pelagibacteraceae	NA	NA
func_c21bd5606b30	Core_Pelagibacteraceae	NA	NA
func_c5ee88670ce6	Core_Pelagibacteraceae	NA	NA
func_757e021439a3	Core_Pelagibacteraceae	NA	NA
func_dc26c7550088	Core_Pelagibacteraceae	NA	NA
func_efbd233bdf02	Core_Pelagibacteraceae	NA	NA
func_616570056343	Core_Pelagibacteraceae	NA	NA
func_002f3fc77f0f	Core_Pelagibacteraceae	NA	NA
func_440fdff18cc5	Core_Pelagibacteraceae	NA	NA
func_81fa1eef9e49	Core_Pelagibacteraceae	NA	NA
func_3b663c0c1bb2	Core_Pelagibacteraceae	NA	NA
func_c93ab46d9486	Core_Pelagibacteraceae	NA	NA
func_fd28a3f84c0c	Core_Pelagibacteraceae	NA	NA
func_07441165786b	Core_Pelagibacteraceae	NA	NA
func_e1b54b8e21e0	Core_Pelagibacteraceae	NA	NA
func_04b47f998672	Core_Pelagibacteraceae	NA	NA
