bins,Genus,Source.Location2
HTCC1002,Ia.1.I,other_locations
HTCC1013,Ia.1.I,other_locations
HTCC1016,Ia.1.I,other_locations
HTCC1040,Ia.1.I,other_locations
HTCC1062,Ia.1.I,other_locations
HTCC9565,Ia.1.I,other_locations
NP1,Ia.1.I,other_locations
HTCC7211,Ia.3.I,other_locations
HTCC7214,Ia.3.I,other_locations
HTCC7217,Ia.3.I,other_locations
HIMB1412,Ia.3.II,new
HIMB1420,Ia.3.II,new
HIMB1427,Ia.3.II,new
HIMB1520,Ia.3.II,new
HIMB1564,Ia.3.II,new
HIMB5,Ia.3.II,previous
HIMB1321,Ia.3.III,previous
HIMB1505,Ia.3.III,new
HIMB1527,Ia.3.III,new
HIMB1549,Ia.3.III,new
HIMB4,Ia.3.III,previous
HTCC8051,Ia.3.IV,other_locations
HTCC9022,Ia.3.IV,other_locations
FZCC0015,Ia.3.V,other_locations
HIMB83,Ia.3.V,previous
HIMB1409,Ia.3.V,new
HIMB1413,Ia.3.V,new
HIMB1444,Ia.3.V,new
HIMB1456,Ia.3.V,new
HIMB2201,Ia.3.V,new
HIMB2250,Ia.3.V,new
HIMB122,Ia.3.VI,previous
HIMB140,Ia.3.VI,previous
HIMB1430,Ia.3.VI,new
HIMB1485,Ia.3.VI,new
HIMB1488,Ia.3.VI,new
HIMB1490,Ia.3.VI,new
HIMB1491,Ia.3.VI,new
HIMB1493,Ia.3.VI,new
HIMB1494,Ia.3.VI,new
HIMB1495,Ia.3.VI,new
HIMB1506,Ia.3.VI,new
HIMB1507,Ia.3.VI,new
HIMB1509,Ia.3.VI,new
HIMB1513,Ia.3.VI,new
HIMB1518,Ia.3.VI,new
HIMB1521,Ia.3.VI,new
HIMB1526,Ia.3.VI,new
HIMB1542,Ia.3.VI,new
HIMB1552,Ia.3.VI,new
HIMB1556,Ia.3.VI,new
HIMB1559,Ia.3.VI,new
HIMB1573,Ia.3.VI,new
HIMB1577,Ia.3.VI,new
HIMB1587,Ia.3.VI,new
HIMB1593,Ia.3.VI,new
HIMB1597,Ia.3.VI,new
HIMB1611,Ia.3.VI,new
HIMB1623,Ia.3.VI,new
HIMB1631,Ia.3.VI,new
HIMB1636,Ia.3.VI,new
HIMB1641,Ia.3.VI,new
HIMB1662,Ia.3.VI,new
HIMB1685,Ia.3.VI,new
HIMB1695,Ia.3.VI,new
HIMB1701,Ia.3.VI,new
HIMB1702,Ia.3.VI,new
HIMB1709,Ia.3.VI,new
HIMB1710,Ia.3.VI,new
HIMB1715,Ia.3.VI,new
HIMB1723,Ia.3.VI,new
HIMB1746,Ia.3.VI,new
HIMB1748,Ia.3.VI,new
HIMB1758,Ia.3.VI,new
HIMB1765,Ia.3.VI,new
HIMB1770,Ia.3.VI,new
HIMB1782,Ia.3.VI,new
HIMB2211,Ia.3.VI,new
HIMB1483,Ia.4.1483,new
HIMB1402,Ia.4.II,new
HIMB1437,Ia.4.II,new
HIMB1863,Ia.4.II,new
HIMB2104,Ia.4.II,new
HIMB2200,Ia.4.II,new
HIMB2204,Ia.4.II,new
HIMB2215,Ia.4.II,new
HIMB1436,Ia.4.RS39,new
HIMB2187,Ia.4.RS39,new
HIMB2226,Ia.4.RS39,new
RS39,Ia.4.RS39,other_locations
HIMB2305,Ib.1,new
RS40,Ib.1,other_locations
