samples	Family	Genus	Species	Historical_subgroup	Study	Source.Location	total_length	num_contigs	N50	GC_content	Completeness	Contamination	Accession IDs/ DOI to data
HTCC9565	Pelagibacteraceae	Pelagibacter	Type	Ia.1.I	JGI/IMG	"open ocean, NE Pacific"	1279674	3	763172	28.9465863	99.05	0	GCF_012932795.1
HTCC1002	Pelagibacteraceae	Pelagibacter	No	Ia.1.I	JGI/IMG	"coastal Oregon, USA"	1328618	4	1324008	30.1535817	100	0.47	GCF_000153525.1
HTCC1013	Pelagibacteraceae	Pelagibacter	No	Ia.1.I	"Rappe et al., 2002; Grote et al., 2012"	"coastal Oregon, USA"	1301122	5	741014	30.0358102	100	0.47	GCF_000472585.1
HTCC1016	Pelagibacteraceae	Pelagibacter	No	Ia.1.I	"Rappe et al., 2002; Grote et al., 2012"	"coastal Oregon, USA"	1297098	4	794419	29.7249503	100	0.47	GCF_000372905.1
HTCC1040	Pelagibacteraceae	Pelagibacter	No	Ia.1.I	"Rappe et al., 2002; Grote et al., 2012"	"coastal Oregon, USA"	1274624	1	1274624	29.5759889	100	0.47	GCF_000384455.1
HTCC1062	Pelagibacteraceae	Pelagibacter	Type	Ia.1.I	"Rappe et al., 2002; Grote et al., 2012"	"coastal Oregon, USA"	1308759	1	1308759	29.6102764	100	0.47	GCF_000012345.1
NP1	Pelagibacteraceae	Pelagibacter	Type	Ia.1.I	"Morris et al., 2020"	"open ocean, NE Pacific"	1365705	1	1365705	29.5742414	99.05	0.63	GCF_012276695.1
HTCC7211	Pelagibacteraceae	Atlantikopelagibacter	Type	Ia.3.I	"Stingl et al., 2007"	"Sargasso Sea, BATS"	1456888	1	1456888	29.0142501	100	0.47	GCF_000155895.1
HTCC7214	Pelagibacteraceae	Atlantikopelagibacter	No	Ia.3.I	"Stingl et al., 2007"	"Sargasso Sea, BATS"	1375060	1	1375060	29.2434096	99.05	0.47	GCF_000701385.1
HTCC7217	Pelagibacteraceae	Atlantikopelagibacter	No	Ia.3.I	"Stingl et al., 2007"	"Sargasso Sea, BATS"	1433611	1	1433611	28.7856325	100	0.95	GCF_000702645.1
HIMB1420	Pelagibacteraceae	Coralipelagibacter	No	Ia.3.II	"Freel et al., 2024"	"offshore, Oahu, Hawaii, USA"	1333725	2	707660	28.7993761	100	0	10.6084/m9.figshare.28087454
HIMB1427	Pelagibacteraceae	Coralipelagibacter	No	Ia.3.II	"Freel et al., 2024"	"offshore, Oahu, Hawaii, USA"	1383662	27	108405	28.3417976	100	4.29	10.6084/m9.figshare.28087454
HIMB1520	Pelagibacteraceae	Coralipelagibacter	No	Ia.3.II	"Freel et al., 2024"	"coastal, Oahu, Hawaii, USA"	1324447	1	1324447	28.6655846	100	0	10.6084/m9.figshare.28087454
