Category	Metabolism	Specific.function2	Gene.description	Specific.function	accession_check	Environment	source_figure4	Present_in_reps	FUNCTION	Order
Nitrogen	Polyamine metabolism	"putrescine glutamylation, puuB"	"puuB,gamma-glutamylputrescine oxidase [EC:1.4.3.-]"	puuB	K09471	Coastal	KOfam	no	gamma-glutamylputrescine oxidase [EC:1.4.3.-]	1
Nitrogen	Polyamine metabolism	"putrescine glutamylation, puuC"	"puuC/kauB,4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"	puuC	K09472	Coastal	KOfam	yes	4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]	2
Nitrogen	Polyamine metabolism	"putrescine glutamylation, puuD"	"puuD,Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)"	puuD	COG2071	Coastal	COG20_FUNCTION	no	"Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD (putrescine degradation), contains GATase1-like domain (PuuD) (PDB:1L9X)"	3
Nitrogen	Purine metabolism	"allantoate deiminase, allC"	allantoate deiminase [EC:3.5.3.9]	allC	K02083	Coastal	KOfam	yes	allantoate deiminase [EC:3.5.3.9]	4
Nitrogen	Purine metabolism	"adenine deaminase, ade"	adenine deaminase [EC:3.5.4.2]	ade	K21053	Offshore	KOfam	no	adenine deaminase [EC:3.5.4.2]	5
Nitrogen	Purine metabolism	"guanosine uptake,nupN"	"lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)"	nupN	K07335	Offshore	KOfam	yes	basic membrane protein A and related proteins	6
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"transaminase, AGXT"	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	agxt	K00830	Offshore	KOfam	yes	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]	7
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"threonine dehydratase, tdcB"	threonine dehydratase [EC:4.3.1.19]	tdcB	K01754	Coastal	KOfam	yes	threonine dehydratase [EC:4.3.1.19]	8
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"proline dehydrogenase, putA"	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	putA	K13821	Coastal	KOfam	yes	"RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"	9
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"cis-L-3-hydroxyproline dehydratase, c3lhypd"	cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	c3lhypd	K21624	Coastal	KOfam	yes	cis-L-3-hydroxyproline dehydratase [EC:4.2.1.171]	10
Oxidative	Peroxides	"catalase-peroxidase,katG"	Catalase (peroxidase I) (KatG) (PDB:5SX1) (PUBMED:31337720)	katG	K03782	Offshore	KOfam	yes	catalase-peroxidase [EC:1.11.1.21]	11
Osmotic	Pump/Channels/Antiporters	"cation:H+ antiporter, yrbG"	cation:H+ antiporter	yrbG	K07301	Coastal	KOfam	yes	cation:H+ antiporter	12
Osmotic	Pump/Channels/Antiporters	"voltage-gated sodium channel, VGSC"	voltage-gated sodium channel	vgsc	K08714	Coastal	KOfam	yes	voltage-gated sodium channel	13
Metals	Iron Transporters	"high-affinity iron transporter, FTR1"	High-affinity Fe2+/Pb2+ permease (FTR1)	ftr1	K07243	Offshore	KOfam	no	high-affinity iron transporter	14
Metals	Potassium	"K+ transport, flavoprotein, czcO"	Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD (CzcO) (PDB:4USQ)	czcO	K07222	Coastal	KOfam	no	putative flavoprotein involved in K+ transport	15
Nitrogen	Purine metabolism	"nucleoside 2-deoxyribosyltransferase, RCL"	Nucleoside 2-deoxyribosyltransferase (RCL) (PDB:1F8X)	rcl	COG3613	Coastal	COG20_FUNCTION	yes	Nucleoside 2-deoxyribosyltransferase (RCL) (PDB:1F8X)	16
Nitrogen	Purine metabolism	n terminal nucleophile	"Uncharacterized conserved protein, Ntn-hydrolase superfamily (PDB:2IMH)"	unch	COG3342	Coastal	COG20_FUNCTION	yes	"Uncharacterized conserved protein, Ntn-hydrolase superfamily (PDB:2IMH)"	17
Nitrogen	Purine metabolism	"xanthinepermease,uraA"	Xanthine/uracil permease (UraA) (PDB:3QE7)	uraA	COG2233	Offshore	COG20_FUNCTION	yes	Xanthine/uracil permease (UraA) (PDB:3QE7)	18
Nitrogen	Purine metabolism	"guanosine transporter,nupP"	"ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)"	nupP	COG4603	Offshore	COG20_FUNCTION	yes	"ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)"	19
Nitrogen	Purine metabolism	"guanosine transporter,nupQ"	"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)"	nupQ	COG1079	Offshore	COG20_FUNCTION	yes	"ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)"	20
Nitrogen	Purine metabolism	"guanosinetransporter,nupO"	"ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)"	nupO	COG3845	Offshore	COG20_FUNCTION	yes	"ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)"	21
Nitrogen	Purine metabolism	"tRNA adenosine deaminase,tadA"	tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N)	tadA	COG0590	Offshore	COG20_FUNCTION	yes	tRNA(Arg) A34 adenosine deaminase TadA (TadA) (PDB:2A8N)	22
Nitrogen	Purine metabolism	"xanthine dehydrogenase, xdhA"	"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)"	xdhA	COG4630	Offshore	COG20_FUNCTION	yes	"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)"	23
Nitrogen	Purine metabolism	"xanthine dehydrogenase, xdhB"	"Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)"	xdhB	COG4631	Offshore	COG20_FUNCTION	yes	"Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)"	24
Nitrogen	Purine metabolism	"uric acid degradation, pucL"	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70)	pucL	COG3195	Offshore	COG20_FUNCTION	yes	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70)	25
Nitrogen	urease	"ureases,ureF"	Urease accessory protein UreF (UreF) (PDB:3SF5)	ureF	COG0830	Offshore	COG20_FUNCTION	no	Urease accessory protein UreF (UreF) (PDB:3SF5)	26
Nitrogen	urease	"ureases,ureH"	Urease accessory protein UreH (UreH) (PDB:3SF5)	ureH	COG0829	Offshore	COG20_FUNCTION	no	Urease accessory protein UreH (UreH) (PDB:3SF5)	27
Nitrogen	urease	"ureases,ureC"	Urease alpha subunit (UreC) (PDB:5A6T)	ureC	COG0804	Offshore	COG20_FUNCTION	no	Urease alpha subunit (UreC) (PDB:5A6T)	28
Nitrogen	urease	"ureases,ureE"	Urease accessory protein UreE (UreE) (PDB:1EAR)	ureE	COG2371	Offshore	COG20_FUNCTION	no	Urease accessory protein UreE (UreE) (PDB:1EAR)	29
Nitrogen	urease	"ureases,ureB"	Urease beta subunit (UreB)	ureB	COG0832	Offshore	COG20_FUNCTION	no	Urease beta subunit (UreB)	30
Nitrogen	urease	"ureases,ureA"	Urease gamma subunit (UreA) (PDB:1A5K)	ureA	COG0831	Offshore	COG20_FUNCTION	no	Urease gamma subunit (UreA) (PDB:1A5K)	31
Nitrogen	urease	"ureases,ureG"	urease accessory protein	ureG	K03189	Offshore	KOfam	no	urease accessory protein	32
Metals	Nickel transport	"nickel transport, hupE"	"Nickel transport, HupE"	hupE	COG2370	Coastal	COG20_FUNCTION	yes	Hydrogenase/urease accessory protein HupE (HupE)	33
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"omega-amidase,Nit2"	"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)"	nit2	COG0388	Coastal	COG20_FUNCTION	yes	"Omega-amidase YafV/Nit2, hydrolyzes alpha-ketoglutaramate (Nit2) (PUBMED:28373563)"	34
Nitrogen	Transferases/Transport/Amino Acids Metabolism/Amidases	"ornithine cyclodeaminase,OCDMu"	Ornithine cyclodeaminase/archaeal alanine dehydrogenase	ocd	COG2423	Coastal	COG20_FUNCTION	yes	"Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family (OCDMu) (PDB:2I99)"	35
Phosphorus	Phosphorous Regulation/Transport	"phosphate/sulfate permease,pitA"	Phosphate/sulfate permease (pitA)	pitA	COG0306	Offshore	COG20_FUNCTION	yes	Phosphate/sulfate permease (PitA) (PUBMED:31358606)	36
Nitrogen	Glucosylglycerate synthesis	glucosyl-3-phosphoglycerate gpgS	glucosyl-3-phosphoglycerate synthase	gpgS	K13693	Offshore	KOfam	yes	glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]	37
Nitrogen	Glucosylglycerate synthesis	"mannosyl-3-phosphoglycerate phosphatase, yedP"	mannosyl-3-phosphoglycerate phosphatase	yedP	K07026	Offshore	KOfam	yes	mannosyl-3-phosphoglycerate phosphatase [EC:3.1.3.70]	38
Nitrogen	Sucrose synthesis	"glycosidase/amylase, amyA"	Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)	amyA	COG0366	Offshore	COG20_FUNCTION	yes	Glycosidase/amylase (phosphorylase) (AmyA) (PDB:2P67) (PUBMED:29684280)	39
Alternative Carbons	Glycerol catabolism	sn-glycerol 3-phosphate transport 	sn-glycerol 3-phosphate transport system permease protein	ugpE	K05815	Coastal	KOfam	no	sn-glycerol 3-phosphate transport system permease protein	40
Alternative Carbons	Glycerol catabolism	sn-glycerol 3-phosphate transport 	sn-glycerol 3-phosphate transport system substrate-binding protein	ugpB	K05813	Coastal	KOfam	no	sn-glycerol 3-phosphate transport system substrate-binding protein	41
Alternative Carbons	Glycerophospholipid metabolism	glycerophosphoryl diester phosphodiesterase 	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	ugpQ	K01126	Coastal	KOfam	no	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]	42
