Type	Category	Gene name	FUNCTION	Source	Accession	COG	KOfam	EC	Order	Genus_count
Molybdenum pterin cofactor (Moco) enzymes	Main cofactor biosynthesis	moaA	"GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)"	COG20_FUNCTION	COG2896	COG2896	K03639;K20967	4.1.99.22	1	9.1429
Molybdenum pterin cofactor (Moco) enzymes	Main cofactor biosynthesis	moaC	Molybdenum cofactor biosynthesis enzyme MoaC (MoaC) (PDB:1EKR) (PUBMED:32239579)	COG20_FUNCTION	COG0315	COG0315	K03637	4.6.1.17	2	9
Molybdenum pterin cofactor (Moco) enzymes	Main cofactor biosynthesis	moaE	Molybdopterin synthase catalytic subunit MoaE (MoaE) (PDB:1FM0) (PUBMED:32239579)	COG20_FUNCTION	"COG0314
"	"COG0314
"	"
K03635; 
K21142"	2.8.1.12	3	9
Molybdenum pterin cofactor (Moco) enzymes	Main cofactor biosynthesis	moaB	Molybdopterin biosynthesis enzyme MoaB/MogA (MoaB) (PDB:1DI6) (PUBMED:32239579)	COG20_FUNCTION	COG0521	COG0521	"
K03831; 
K03638"	2.7.7.75	4	9
Molybdenum pterin cofactor (Moco) enzymes	Main cofactor biosynthesis	moeA	Molybdopterin Mo-transferase (molybdopterin biosynthesis) (MoeA) (PDB:2NQU) (PUBMED:18801996;32239579)	COG20_FUNCTION	COG0303	COG0303	K03750	2.10.1.1	5	9
Molybdenum pterin cofactor (Moco) enzymes	Cofactor accessory and modification genes	mobA	Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)	COG20_FUNCTION	COG0746	COG0746	"K03752; 
K13818"	2.7.7.77	6	8.8889
Molybdenum pterin cofactor (Moco) enzymes	Cofactor accessory and modification genes	moeA	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	KOfam	K07141	COG0303!!!COG2068	K07141	2.7.7.76	7	3.4286
Molybdenum pterin cofactor (Moco) enzymes	Cofactor accessory and modification genes	MOCOS	Molybdenum cofactor sulfurtransferase	KOfam	K15631	NA	K15631	2.8.1.9	8	0
Molybdenum pterin cofactor (Moco) enzymes	Cofactor accessory and modification genes	MoeB/MOCS3	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	KOfam	K21029	"COG0476
"	K21029	2.7.7.80	9	11
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	xdhA	"Xanthine dehydrogenase, Fe-S cluster and FAD-binding subunit XdhA (XdhA)"	COG20_FUNCTION	COG4630	COG4630	K13481	1.17.1.4	10	2
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	xdhB	"Xanthine dehydrogenase, molybdopterin-binding subunit XdhB (XdhB)"	COG20_FUNCTION	COG4631	COG4631	K13482	1.17.1.4	11	2
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	unch	Uncharacterized membrane protein	COG20_FUNCTION	COG3748	COG3748	K13481	1.7.3.3	12	11
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	hiuH	"5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family (HiuH) (PDB:2IGL)"	COG20_FUNCTION	COG2351	COG2351	K07127	3.5.2.17	13	4.5465
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	pucL	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation) (PucL) (PDB:2O70)	COG20_FUNCTION	COG3195	COG3195	K13485	4.1.1.97	14	2
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	hpxB	allantoinase [EC:3.5.2.5]	KOfam	K16842	COG0726	K16842	3.5.2.5	15	3.1667
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	alc	Allantoicase (Alc) (PDB:1O59)	COG20_FUNCTION	COG4266	COG4266	K01477	3.5.3.4	16	3.1667
Molybdenum pterin cofactor (Moco) enzymes	Xanthine Metabolism	allA	Ureidoglycolate hydrolase (allantoin degradation) (AllA) (PDB:1XSQ)	COG20_FUNCTION	COG3194	COG3194	K01483	4.3.2.3	17	3.1667
Molybdenum pterin cofactor (Moco) enzymes	DMSO metabolism	msrP	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrP) (PDB:1OGP) (PUBMED:26641313;32750406)	COG20_FUNCTION	COG2041	COG2041			18	9
Molybdenum pterin cofactor (Moco) enzymes	DMSO metabolism	msrQ	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases (MsrQ) (PUBMED:26641313)	COG20_FUNCTION	COG2717	COG2717			19	9
