bins	Alphaproteobacterial_SCGs	Ribosomal_RNA_12S	Ribosomal_RNA_16S	Ribosomal_RNA_18S	Ribosomal_RNA_23S	Ribosomal_RNA_28S	Ribosomal_RNA_5S	Transfer_RNAs
FZCC0015	195	0	1	0	1	0	0	31
HIMB122	193	0	1	0	1	0	0	30
HIMB1321	195	0	1	0	1	0	0	29
HIMB140	194	0	1	0	1	0	0	29
HIMB1402	190	0	1	0	1	0	0	29
HIMB1409	192	0	1	0	1	0	0	31
HIMB1412	191	0	1	0	1	0	0	31
HIMB1413	194	0	1	0	1	0	0	31
HIMB1420	191	0	1	0	1	0	0	31
HIMB1427	199	0	1	0	1	0	0	29
HIMB1430	197	0	1	0	1	0	0	29
HIMB1436	193	0	1	0	1	0	0	32
HIMB1437	191	0	1	0	1	0	0	31
HIMB1444	196	0	1	0	1	0	0	33
HIMB1456	193	0	1	0	1	0	0	31
HIMB1483	191	0	1	0	1	0	0	31
HIMB1485	193	0	1	0	1	0	0	29
HIMB1488	193	0	1	0	1	0	0	30
HIMB1490	173	0	1	0	1	0	0	26
HIMB1491	193	0	1	0	1	0	0	30
HIMB1493	192	0	1	0	1	0	0	30
HIMB1494	194	0	1	0	1	0	0	29
HIMB1495	194	0	1	0	1	0	0	29
HIMB1505	197	0	1	0	1	0	0	30
HIMB1506	193	0	1	0	1	0	0	30
HIMB1507	194	0	1	0	1	0	0	30
HIMB1509	191	0	1	0	1	0	0	31
HIMB1513	193	0	1	0	1	0	0	29
HIMB1518	192	0	1	0	1	0	0	30
HIMB1520	193	0	1	0	1	0	0	30
HIMB1521	192	0	1	0	1	0	0	29
HIMB1526	193	0	1	0	1	0	0	29
HIMB1527	197	0	1	0	1	0	0	29
HIMB1542	193	0	1	0	1	0	0	29
HIMB1549	196	0	1	0	1	0	0	29
HIMB1552	193	0	1	0	1	0	0	29
HIMB1556	194	0	1	0	1	0	0	30
HIMB1559	194	0	1	0	1	0	0	30
HIMB1564	190	0	1	0	1	0	0	30
HIMB1573	195	0	1	0	1	0	0	30
HIMB1577	192	0	1	0	1	0	0	29
HIMB1587	194	0	1	0	1	0	0	30
HIMB1593	192	0	1	0	1	0	0	29
HIMB1597	194	0	1	0	1	0	0	30
HIMB1611	194	0	1	0	1	0	0	31
HIMB1623	194	0	1	0	1	0	0	30
HIMB1631	192	0	1	0	1	0	0	29
HIMB1636	193	0	1	0	1	0	0	29
HIMB1641	193	0	1	0	1	0	0	29
HIMB1662	192	0	1	0	1	0	0	29
HIMB1685	193	0	1	0	1	0	0	29
HIMB1695	193	0	1	0	1	0	0	30
HIMB1701	194	0	1	0	1	0	0	29
HIMB1702	193	0	1	0	1	0	0	30
HIMB1709	193	0	1	0	1	0	0	29
HIMB1710	193	0	1	0	1	0	0	29
HIMB1715	190	0	1	0	1	0	0	29
HIMB1723	192	0	1	0	1	0	0	28
HIMB1746	193	0	1	0	1	0	0	32
HIMB1748	195	0	1	0	1	0	0	29
HIMB1758	194	0	1	0	1	0	0	30
HIMB1765	193	0	1	0	1	0	0	29
HIMB1770	192	0	1	0	1	0	0	30
HIMB1782	192	0	1	0	1	0	0	29
HIMB1863	195	0	1	0	1	0	0	30
HIMB2104	188	0	1	0	1	0	0	32
HIMB2187	192	0	1	0	1	0	0	31
HIMB2200	191	0	1	0	1	0	0	30
HIMB2201	197	0	1	0	1	0	0	31
HIMB2204	191	0	1	0	1	0	0	30
HIMB2211	193	0	1	0	1	0	0	29
HIMB2215	185	0	1	0	1	0	0	31
HIMB2226	192	0	1	0	1	0	0	30
HIMB2250	191	0	1	0	1	0	0	30
HIMB2305	191	0	1	0	1	0	0	28
HIMB4	198	0	1	0	1	0	0	31
HIMB5	196	0	1	0	1	0	0	30
HIMB83	194	0	1	0	1	0	0	32
HTCC1002	194	0	1	0	1	0	0	31
HTCC1013	193	0	1	0	1	0	0	31
HTCC1016	194	0	1	0	1	0	0	31
HTCC1040	193	0	1	0	1	0	0	31
HTCC1062	193	0	1	0	1	0	0	31
HTCC7211	194	0	1	0	1	0	0	32
HTCC7214	195	0	1	0	1	0	0	30
HTCC7217	193	0	1	0	1	0	0	31
HTCC8051	193	0	1	0	1	0	0	32
HTCC9022	193	0	1	0	1	0	0	30
HTCC9565	190	0	1	0	1	0	0	30
NP1	194	0	1	0	1	0	0	30
RS39	191	0	1	0	1	0	0	32
RS40	192	0	1	0	1	0	0	32
