qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	HMW_gene_callers_id	genome	genome_gene_callers_id
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1420-00000000001_split_00002_21725	97.937	5139	104	2	434	5571	473	5610	0	8901	233995	HIMB1420	21725
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1427-00000000001_split_00001_32031	97.374	4646	120	2	434	5078	473	5117	0	7902	233995	HIMB1427	32031
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1412-00000000001_split_00034_10700	87.234	658	70	6	1010	1654	617	1273	0	737	233995	HIMB1412	10700
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1412-00000000001_split_00034_10700	85.185	81	7	4	1	77	1	80	3.60E-15	78.7	233995	HIMB1412	10700
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB122-00000000001_split_00009_8659	74.101	1251	301	20	3040	4277	823	2063	3.02E-140	494	233995	HIMB122	8659
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1488-00000000001_split_00015_92613	74.059	1249	305	18	3040	4277	823	2063	3.02E-140	494	233995	HIMB1488	92613
HMW_xHP1_006-c_000000037808_split_00001-233995	HIMB1564-00000000001_split_00021_55814	85.714	84	12	0	830	913	1289	1372	1.67E-18	89.8	233995	HIMB1564	55814
HMW_xHP1_006-c_000000077854_split_00001-499626	HIMB1427-00000000001_split_00001_32031	98.378	2343	38	0	1	2343	1057	3399	0	4117	499626	HIMB1427	32031
HMW_xHP1_006-c_000000077854_split_00001-499626	HIMB1420-00000000001_split_00002_21725	98.25	2343	41	0	1	2343	1057	3399	0	4100	499626	HIMB1420	21725
HMW_xHP1_006-c_000000077854_split_00001-499626	HIMB1412-00000000001_split_00034_10700	87.385	650	68	6	1	637	625	1273	0	734	499626	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1412-00000000001_split_00034_10700	97.841	6298	121	14	1154	7443	617	6907	0	10863	677686	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1412-00000000001_split_00034_10700	81.727	1702	293	14	7631	9326	7070	8759	0	1404	677686	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1412-00000000001_split_00034_10700	99.256	403	3	0	1	403	220	622	0	728	677686	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1412-00000000001_split_00034_10700	94.118	85	5	0	5146	5230	4405	4489	1.65E-30	130	677686	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1412-00000000001_split_00034_10700	92.941	85	6	0	4942	5026	4609	4693	7.66E-29	124	677686	HIMB1412	10700
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1427-00000000001_split_00001_32031	83.992	3973	577	43	5326	9282	5167	9096	0	3759	677686	HIMB1427	32031
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1427-00000000001_split_00001_32031	86.058	1248	160	6	564	1810	459	1693	0	1328	677686	HIMB1427	32031
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1420-00000000001_split_00002_21725	90.088	1816	163	16	5637	7443	5865	7672	0	2340	677686	HIMB1420	21725
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1420-00000000001_split_00002_21725	88.434	1098	127	0	564	1661	459	1556	0	1325	677686	HIMB1420	21725
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB4-00000000001_split_00044_119221	75.881	2214	470	43	7119	9315	4011	6177	0	1072	677686	HIMB4	119221
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB4-00000000001_split_00044_119221	84.348	345	49	4	4954	5295	3412	3754	1.17E-91	333	677686	HIMB4	119221
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB4-00000000001_split_00044_119221	83.636	110	18	0	4909	5018	3571	3680	9.98E-23	104	677686	HIMB4	119221
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1505-00000000001_split_00039_112850	75.881	2214	470	43	7119	9315	4011	6177	0	1072	677686	HIMB1505	112850
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1505-00000000001_split_00039_112850	84.348	345	49	4	4954	5295	3412	3754	1.17E-91	333	677686	HIMB1505	112850
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1505-00000000001_split_00039_112850	83.636	110	18	0	4909	5018	3571	3680	9.98E-23	104	677686	HIMB1505	112850
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1490-00000000005_split_00004_108996	74.279	416	94	10	8899	9306	6610	7020	1.62E-40	163	677686	HIMB1490	108996
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1491-00000000001_split_00009_94068	74.279	416	94	10	8899	9306	6610	7020	1.62E-40	163	677686	HIMB1491	94068
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB140-00000000001_split_00032_2118	73.879	379	91	4	8899	9270	6610	6987	5.88E-35	145	677686	HIMB140	2118
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1507-00000000001_split_00009_127853	76.265	257	53	6	8906	9155	7736	7991	1.65E-30	130	677686	HIMB1507	127853
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1559-00000000001_split_00066_54801	75.758	264	56	6	8899	9155	7642	7904	2.13E-29	126	677686	HIMB1559	54801
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1587-00000000002_split_00026_72740	75.758	264	56	6	8899	9155	7642	7904	2.13E-29	126	677686	HIMB1587	72740
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1597-00000000001_split_00025_79274	75.758	264	56	6	8899	9155	7642	7904	2.13E-29	126	677686	HIMB1597	79274
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB2211-00000000001_split_00048_89742	74.219	256	60	3	8906	9155	7457	7712	3.59E-22	102	677686	HIMB2211	89742
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1488-00000000001_split_00015_92613	74.319	257	58	5	8906	9155	7475	7730	3.59E-22	102	677686	HIMB1488	92613
HMW_xHP1_006-c_000000104838_split_00001-677686	HIMB1746-00000000002_split_00003_73135	74.561	228	52	4	8899	9120	7408	7635	6.01E-20	95.3	677686	HIMB1746	73135
HMW_xHP1_006-c_000000111846_split_00001-724193	HIMB1420-00000000001_split_00002_21725	91.972	847	64	4	1	845	6658	7502	0	1184	724193	HIMB1420	21725
HMW_xHP1_006-c_000000111846_split_00001-724193	HIMB1412-00000000001_split_00034_10700	90.78	846	76	2	1	845	5893	6737	0	1129	724193	HIMB1412	10700
HMW_xHP1_006-c_000000111846_split_00001-724193	HIMB1427-00000000001_split_00001_32031	86.726	904	117	3	1	903	6271	7172	0	1002	724193	HIMB1427	32031
HMW_xHP1_006-c_000000111988_split_00001-725153	HIMB1420-00000000001_split_00002_21725	99.536	4743	22	0	1	4743	1	4743	0	8637	725153	HIMB1420	21725
