	FZCC0015	HIMB122	HIMB1321	HIMB140	HIMB1402	HIMB1409	HIMB1412	HIMB1413	HIMB1420	HIMB1427	HIMB1430	HIMB1436	HIMB1437	HIMB1444	HIMB1456	HIMB1483	HIMB1485	HIMB1488	HIMB1490	HIMB1491	HIMB1493	HIMB1494	HIMB1495	HIMB1505	HIMB1506	HIMB1507	HIMB1509	HIMB1513	HIMB1518	HIMB1520	HIMB1521	HIMB1526	HIMB1527	HIMB1542	HIMB1549	HIMB1552	HIMB1556	HIMB1559	HIMB1564	HIMB1573	HIMB1577	HIMB1587	HIMB1593	HIMB1597	HIMB1611	HIMB1623	HIMB1631	HIMB1636	HIMB1641	HIMB1662	HIMB1685	HIMB1695	HIMB1701	HIMB1702	HIMB1709	HIMB1710	HIMB1715	HIMB1723	HIMB1746	HIMB1748	HIMB1758	HIMB1765	HIMB1770	HIMB1782	HIMB1863	HIMB2104	HIMB2187	HIMB2200	HIMB2201	HIMB2204	HIMB2211	HIMB2215	HIMB2226	HIMB2250	HIMB2305	HIMB4	HIMB5	HIMB83	HTCC1002	HTCC1013	HTCC1016	HTCC1040	HTCC1062	HTCC7211	HTCC7214	HTCC7217	HTCC8051	HTCC9022	HTCC9565	NP1	RS39	RS40
Glycine/D-amino acid oxidase (deaminating) (DadA) (PDB:3AWI)	6	7	7	7	5	6	6	6	6	8	7	5	5	6	6	6	7	7	7	7	7	7	7	7	7	7	8	7	7	6	7	7	7	7	7	7	6	7	6	7	7	7	7	7	7	8	7	7	7	7	7	7	7	6	7	7	7	7	7	8	7	7	7	7	5	5	5	5	6	5	7	5	5	6	5	7	6	6	8	7	7	7	8	7	7	7	7	7	6	7	6	6
Cold shock protein, CspA family (CspC) (PDB:1C9O)	2	2	2	2	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	2	1
Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase (AdhE) (PDB:1A4S)	5	5	4	5	4	5	4	5	5	4	5	4	4	5	6	3	6	5	6	6	6	6	6	3	5	6	5	5	6	4	5	5	4	7	4	5	6	5	4	5	5	5	6	5	5	5	5	5	6	5	5	8	5	6	6	6	6	6	6	6	5	5	6	6	4	4	4	4	5	4	5	4	4	5	6	3	5	5	7	7	6	7	8	7	8	7	8	6	6	7	4	6
Ammonia channel protein AmtB (AmtB) (PDB:1U77)	3	3	1	3	2	2	2	2	2	3	3	2	2	2	2	2	3	3	3	3	3	3	3	1	3	3	3	3	3	2	3	3	1	3	1	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	3	2	2	2	2	1	2	3	2	2	2	2	2	2	3	2	3	3	2	2	2	2
NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	9	11	5	11	6	10	6	12	6	6	10	5	7	12	10	8	10	13	11	11	9	11	11	6	9	9	10	13	9	6	13	9	5	11	8	9	9	10	8	11	9	10	11	10	10	11	9	9	9	10	12	12	10	9	10	9	9	10	10	9	10	9	9	12	5	6	5	6	13	6	11	5	5	11	9	6	10	8	11	11	7	10	12	9	7	6	14	11	5	9	6	7
Glutamate synthase domain 2 (GltB2) (PDB:1EA0)	1	1	0	1	1	1	2	1	2	4	1	1	1	2	2	1	1	1	1	1	2	1	1	0	2	1	2	1	2	2	1	1	0	1	0	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	0	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2
FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase (LldD) (PDB:6AI7)	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	3	3	3	3	1	2	2	2	2
Long-chain acyl-CoA synthetase (AMP-forming) (FAA1)	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1	1	2	2	2	2	2	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
Aspartyl/asparaginyl beta-hydroxylase, cupin superfamily (LpxO2)	1	2	1	1	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	2	1
Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)	2	3	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	3	2	3	2	2	3	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	2	2	2	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
