items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index	AAI_min	AAI_max	AAI_avg	ECGs_and_EAGs!EAG	ECGs_and_EAGs!ECG	ECGs_and_EAGs!NA	EAG_ECG_ratio
GC_00000001	92	185	3	0	0.815010874946062	0.994632525206576	0.895907253937486	0.544152744630072	1.0	0.754195962071857	1	160	24	0.0062111801242236
GC_00000002	92	174	2	0	0.870449920649001	0.953169682131353	0.909933708665229	0.625	1.0	0.810065222687308	8	144	22	0.0526315789473684
GC_00000003	92	155	3	0	0.810785123610832	0.990502318808767	0.891678391887782	0.553014553014553	1.0	0.756861272990305	0	139	16	0.0
GC_00000004	92	144	2	0	0.857412994983785	0.935864161836088	0.894922562132954	0.585313174946004	1.0	0.790563468209257	1	128	15	0.00775193798449612
GC_00000005	65	120	3	0	0.780644173686753	0.974883963247135	0.867018272072488	0.0276679841897233	1.0	0.695198237397726	8	104	8	0.0714285714285714
GC_00000006	87	119	4	0	0.83505341709995	0.947724992914372	0.887828783833897	0.448851774530271	1.0	0.767359716258323	2	93	24	0.0210526315789474
GC_00000007	92	112	2	0	0.846944355773593	0.989785233911034	0.912810488813362	0.550387596899225	1.0	0.798034330011074	0	94	18	0.0
GC_00000008	92	112	2	0	0.790715377209818	0.729508819054567	0.758879963171304	0.0750407830342577	1.0	0.545088872372722	0	100	12	0.0
GC_00000009	92	111	3	0	0.845553078513234	0.868726521376166	0.856983171920265	0.464135021097046	1.0	0.784220584220584	4	92	15	0.0416666666666667
GC_00000010	92	106	2	0	0.781508535127649	0.965286514886706	0.863730006816064	0.512635379061372	1.0	0.710294160576839	3	91	12	0.0319148936170213
GC_00000011	87	106	3	0	0.817016764818603	0.989464875448789	0.89500980626756	0.541832669322709	1.0	0.75395811184731	3	82	21	0.0352941176470588
GC_00000012	92	105	5	0	0.9234840398349	0.927916586970775	0.925695007291932	0.0171428571428571	1.0	0.838744113029827	2	91	12	0.021505376344086
GC_00000013	92	104	2	0	0.869906844753563	0.830691959152654	0.849847264961961	0.251612903225806	1.0	0.822027753017418	3	88	13	0.032967032967033
GC_00000014	92	104	3	0	0.880008550449372	0.903173918827501	0.891440763696359	0.604938271604938	1.0	0.840320996874395	3	89	12	0.0326086956521739
GC_00000015	88	104	3	0	0.857377986456133	0.776342457930987	0.8148504668202	0.102493074792244	1.0	0.630142703758335	0	94	10	0.0
GC_00000016	92	102	2	0	0.66784847205929	0.777034499321137	0.718316034430367	0.0201342281879195	1.0	0.478949375395495	4	84	14	0.0454545454545455
GC_00000017	92	101	2	0	0.911403486791059	0.991179687045146	0.949619060267363	0.627118644067797	1.0	0.879995301225038	2	83	16	0.0235294117647059
GC_00000018	92	100	2	0	0.83321863661781	0.934058902983321	0.880761813835018	0.403100775193798	1.0	0.771316263409287	6	79	15	0.0705882352941176
GC_00000019	92	100	3	0	0.827863280129029	0.739388079207355	0.781128358121301	0.192192192192192	1.0	0.847185367185367	6	81	13	0.0689655172413793
GC_00000020	92	98	2	0	0.858440771055119	0.979638861228132	0.915044076021449	0.529182879377432	1.0	0.809104387071528	0	86	12	0.0
GC_00000021	92	98	2	0	0.917309342357674	0.982973419685558	0.949006873269021	0.506756756756757	1.0	0.885038467880883	0	82	16	0.0
GC_00000022	70	96	2	0	0.794471791873721	0.994129555289998	0.883156987887	0.501766784452297	1.0	0.734722738825863	0	92	4	0.0
GC_00000023	92	95	2	0	0.820930483378051	0.964448084530016	0.886920954981499	0.492462311557789	1.0	0.767354127862155	1	82	12	0.0120481927710843
