Category	Specific.function	FUNCTION	source	accession_check	Notes	Order
Central_Carbon	Glyoxylate Bypass	Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	COG20_FUNCTION	COG0372	prpC/GltA	1
Central_Carbon	Glyoxylate Bypass	Aconitase A (AcnA) (PDB:1ACO)	COG20_FUNCTION	COG1048	acnA	2
Central_Carbon	Glyoxylate Bypass	Isocitrate lyase (AceA) (PDB:1DQU)	COG20_FUNCTION	COG2224	aceA	3
Central_Carbon	Glyoxylate Bypass	Malate synthase (AceB) (PDB:1D8C)	COG20_FUNCTION	COG2225	glcB/aceB	4
Central_Carbon	Glyoxylate Bypass	Malate/lactate dehydrogenase (Mdh) (PDB:4WLO)	COG20_FUNCTION	COG0039	mdh	5
Central_Carbon	Citrate Cycle	Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	COG20_FUNCTION	COG0372	prpC/GltA	6
Central_Carbon	Citrate Cycle	Aconitase A (AcnA) (PDB:1ACO)	COG20_FUNCTION	COG1048	acnA	7
Central_Carbon	Citrate Cycle	Isocitrate dehydrogenase (Icd) (PDB:1IDD)	COG20_FUNCTION	COG0538	icdA	8
Central_Carbon	Citrate Cycle	"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes (SucA) (PDB:2JGD)"	COG20_FUNCTION	COG0567	sucA	9
Central_Carbon	Citrate Cycle	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)!!!Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)"	COG20_FUNCTION	COG0508!!!COG2609	sucB/aceE	10
Central_Carbon	Citrate Cycle	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)"	COG20_FUNCTION	COG0508	pdhD/aceF	11
Central_Carbon	Citrate Cycle	"Succinyl-CoA synthetase, alpha subunit (SucD) (PDB:1CQI)"	COG20_FUNCTION	COG0074	sucD	12
Central_Carbon	Citrate Cycle	"Succinyl-CoA synthetase, beta subunit (SucC) (PDB:1SCU)"	COG20_FUNCTION	COG0045	sucC	13
Central_Carbon	Citrate Cycle	"Succinate dehydrogenase/fumarate reductase, flavoprotein subunit (SdhA) (PDB:1KF6)"	COG20_FUNCTION	COG1053	sdhA	14
Central_Carbon	Citrate Cycle	"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)"	COG20_FUNCTION	COG0479	sdhB	15
Central_Carbon	Citrate Cycle	Fumarate hydratase class II (FumC) (PDB:1KQ7)	COG20_FUNCTION	COG0114	fumC	16
Central_Carbon	Citrate Cycle	Malate/lactate dehydrogenase (Mdh) (PDB:4WLO)	COG20_FUNCTION	COG0039	mdh	17
Central_Carbon	Gluconeogensis	"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase) (Pta) (PDB:1QZT) (PUBMED:28754323)!!!Malic enzyme (SfcA) (PDB:1DO8)"	COG20_FUNCTION	COG0280!!!COG0281	maeB/SfcA	18
Central_Carbon	Gluconeogensis	Phosphoenolpyruvate synthase/pyruvate phosphate dikinase (PpsA) (PDB:5HV6)	COG20_FUNCTION	COG0574	ppdk/PpsA	19
Central_Carbon	Gluconeogensis	Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	COG20_FUNCTION	COG2352	ppc	20
Central_Carbon	Gluconeogensis	Enolase (Eno) (PDB:1E9I)	COG20_FUNCTION	COG0148	eno	21
Central_Carbon	Gluconeogensis	Phosphoglycerate mutase (BPG-dependent) (GpmA) (PDB:1E58)	COG20_FUNCTION	COG0588	gpmA	22
Central_Carbon	Gluconeogensis	3-phosphoglycerate kinase (Pgk) (PDB:13PK)	COG20_FUNCTION	COG0126	pgk	23
Central_Carbon	Gluconeogensis	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	COG20_FUNCTION	COG0057	gap	24
Central_Carbon	Gluconeogensis	Triosephosphate isomerase (TpiA) (PDB:1HG3)	COG20_FUNCTION	COG0149	tpiA	25
Central_Carbon	Gluconeogensis	3-oxoacyl-(acyl-carrier-protein) synthase (FabB) (PDB:2UV8) (PUBMED:21652641)	COG20_FUNCTION	COG0304	fabB	26
Central_Carbon	Gluconeogensis	"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein (GlpX) (PDB:1NI9)"	COG20_FUNCTION	COG1494	glpX	27
Central_Carbon	Gluconeogensis	Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	COG20_FUNCTION	COG0166	pgi	28
Central_Carbon	Pentose Phosphate Shunt (oxidative portion)	Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	COG20_FUNCTION	COG0166	pgi	29
Central_Carbon	Pentose Phosphate Shunt (oxidative portion)	glucose-6-phosphate dehydrogenase (NADPH)	COG20_FUNCTION	NA	zwf	30
Central_Carbon	Pentose Phosphate Shunt (oxidative portion)	"WD40 repeat (WD40) (PDB:3UVN)!!!6-phosphogluconolactonase, cycloisomerase 2 family (Pgl) (PDB:1JOF)!!!DNA-binding beta-propeller fold protein YncE (YncE) (PDB:3VGZ) (PUBMED:22120742;28628661)"	COG20_FUNCTION	COG2319!!!COG2706!!!COG3391	pgl	31
Central_Carbon	Pentose Phosphate Shunt (oxidative portion)	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	KOfam	K00033	gnd	32
Central_Carbon	Pentose Phosphate Shunt (oxidative portion)	gluconokinase [EC:2.7.1.12]	KOfam	K00851		33
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	Ribose 5-phosphate isomerase RpiB (RpiB) (PDB:1NN4)	COG20_FUNCTION	COG0698		34
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	Phosphoribosylpyrophosphate synthetase (PrsA) (PDB:1DKR)	COG20_FUNCTION	COG0462		35
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	Pentose-5-phosphate-3-epimerase (Rpe) (PDB:1H1Y)	COG20_FUNCTION	COG0036		36
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	"Transketolase, C-terminal subunit (TktA2)"	COG20_FUNCTION	COG3958		37
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	"Transketolase, N-terminal subunit (TktA1)"	COG20_FUNCTION	COG3959		38
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	Transketolase (TktA) (PDB:1AY0)	COG20_FUNCTION	COG0021		39
Central_Carbon	Pentose Phosphate Shunt (non-oxidative portion)	Transaldolase/fructose-6-phosphate aldolase (TalA) (PDB:1F05)	COG20_FUNCTION	COG0176		40
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)	COG20_FUNCTION	COG0166	pgi	41
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	6-phosphofructokinase (PfkA) (PDB:1KZH)	COG20_FUNCTION	COG0205	pfk	42
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	"Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein (GlpX) (PDB:1NI9)"	COG20_FUNCTION	COG1494	glpX	43
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	3-oxoacyl-(acyl-carrier-protein) synthase (FabB) (PDB:2UV8) (PUBMED:21652641)	COG20_FUNCTION	COG0304	fabB	44
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Triosephosphate isomerase (TpiA) (PDB:1HG3)	COG20_FUNCTION	COG0149	tpiA	45
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase (GapA) (PDB:3ZDF)	COG20_FUNCTION	COG0057	gap	46
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	3-phosphoglycerate kinase (Pgk) (PDB:13PK)	COG20_FUNCTION	COG0126	pgk	47
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Phosphoglycerate mutase (BPG-dependent) (GpmA) (PDB:1E58)	COG20_FUNCTION	COG0588	gpmA	48
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Enolase (Eno) (PDB:1E9I)	COG20_FUNCTION	COG0148	eno	49
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	Phosphoenolpyruvate carboxylase (Ppc) (PDB:1FIY)	COG20_FUNCTION	COG2352	ppc	50
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	pyruvate kinase [EC:2.7.1.40]	KOfam	K00873	pyk	51
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	KOfam	K00163	aceE	52
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component (AceF) (PDB:1B5S)!!!Pyruvate dehydrogenase complex, dehydrogenase (E1) component (AceE) (PDB:1L8A)"	COG20_FUNCTION	COG0508!!!COG2609	aceF	53
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	dihydrolipoyl dehydrogenase [EC:1.8.1.4]	KOfam	K00382	pdhD	54
Central_Carbon	Glycolysis (Embden-Meyerhoff-Parnas)	"pyruvate, orthophosphate dikinase [EC:2.7.9.1]"	KOfam	K01006	ppdK	55
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	D-xylose 1-dehydrogenase [EC:1.1.1.175]	KOfam	K22185	"gdh-like, following Schwalbach et al., 2010, glycolic operon in SAR11"	56
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	gluconolactonase [EC:3.1.1.17]	KOfam	K01053	"gnl, following Schwalbach et al., 2010, glycolic operon in SAR11"	57
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"Sugar kinase of the NBD/HSP70 family, may contain an N-terminal HTH domain (NagC) (PDB:1WOQ)"	COG20_FUNCTION	COG1940	"ROK, following Schwalbach et al., 2010, glycolic operon in SAR11"	58
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	xylonate dehydratase [EC:4.2.1.82]	KOfam	K22186	"edd, following Schwalbach et al., 2010, glycolic operon in SAR11"	59
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)"	COG20_FUNCTION	COG1028	"gdh-like, following Schwalbach et al., 2010, glycolic operon in SAR11"	60
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	2-dehydro-3-deoxy-L-rhamnonate dehydrogenase (NAD+) [EC:1.1.1.401]	KOfam	K21883	"gdh-like, following Schwalbach et al., 2010, glycolic operon in SAR11"	61
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	"2,4-didehydro-3-deoxy-L-rhamnonate hydrolase [EC:3.7.1.26]"	KOfam	K18336	"FAA, following Schwalbach et al., 2010, glycolic operon in SAR11"	62
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	KOfam	K00020	"gnd, following Schwalbach et al., 2010, glycolic operon in SAR11"	63
Central_Carbon	"Glycolysis (Enter-Doudoroff, non-phosphorylated)"	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily (RspA) (PDB:1BKH)	COG20_FUNCTION	COG4948	rspA	64
Bacteriorhodopsin	Bacteriorhodopsin	Bacteriorhodopsin	COG20_FUNCTION	COG5524		65
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	formate dehydrogenase major subunit [EC:1.17.1.9]	KOfam	K00123		66
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	"NADH:ubiquinone oxidoreductase, NADH-binding 51 kD subunit (chain F) (NuoF) (PDB:2FUG)"	COG20_FUNCTION	COG1894		67
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	"Formate dehydrogenase assembly factor FdhD, a sulfurtransferase (FdhD) (PDB:2PW9)"	COG20_FUNCTION	COG1526		68
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	Molybdopterin-guanine dinucleotide biosynthesis protein A (MobA) (PDB:1E5K) (PUBMED:32239579)	COG20_FUNCTION	COG0746		69
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	Molybdopterin Mo-transferase (molybdopterin biosynthesis) (MoeA) (PDB:2NQU) (PUBMED:18801996;32239579)	COG20_FUNCTION	COG0303		70
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	Formyltetrahydrofolate synthetase (MIS1) (PDB:1EG7)	COG20_FUNCTION	COG2759		71
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	"5,10-methylenetetrahydrofolate reductase (MetF) (PDB:1B5T)"	COG20_FUNCTION	COG0685		72
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	"5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase (FolD) (PDB:1A4I)"	COG20_FUNCTION	COG0190		73
Additional Carbons (Core)	THF Linked oxidation (formate metabolism)	formate dehydrogenase [EC:1.17.1.9]	KOfam	K00122		74
