bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
FZCC0015	1364101	1	1364101	29.201998861265793	98.59154929577464	0.0
HIMB122	1453515	1	1453515	29.284531433251637	98.59154929577464	0.0
HIMB1321	1320749	1	1320749	29.027404027336228	98.59154929577464	0.0
HIMB140	1437930	1	1437930	29.36741529480708	98.59154929577464	0.0
HIMB1402	1177245	12	217910	30.13209798423031	98.59154929577464	0.0
HIMB1409	1313059	20	178156	28.897456558084293	98.59154929577464	0.0
HIMB1412	1297477	1	1297477	29.257900920519937	98.59154929577464	0.0
HIMB1413	1348413	1	1348413	29.178641159047064	98.59154929577464	0.0
HIMB1420	1333725	2	707660	28.799376131704246	98.59154929577464	0.0
HIMB1427	1383662	27	108405	28.34179759543262	98.59154929577464	0.0
HIMB1430	1449252	30	88786	29.598304755774713	98.59154929577464	0.0
HIMB1436	1208525	3	738334	29.23768428024837	98.59154929577464	0.0
HIMB1437	1221307	1	1221307	29.388418572807605	98.59154929577464	0.0
HIMB1444	1305448	8	374569	28.947505867419242	98.59154929577464	0.0
HIMB1456	1353489	17	187405	28.685462845461323	98.59154929577464	0.0
HIMB1483	1207531	2	1084247	28.58590366550934	98.59154929577464	0.0
HIMB1485	1422091	2	961822	29.332675691432144	98.59154929577464	0.0
HIMB1488	1537287	1	1537287	29.125983207800648	98.59154929577464	0.0
HIMB1490	1381468	34	84191	29.73232884696071	95.77464788732394	0.0
HIMB1491	1467757	1	1467757	29.635993784893245	98.59154929577464	0.0
HIMB1493	1434686	1	1434686	29.489372837148796	98.59154929577464	0.0
HIMB1494	1448273	2	1017910	29.37022417126853	98.59154929577464	0.0
HIMB1495	1448109	2	1424936	29.306160999646668	98.59154929577464	0.0
HIMB1505	1360308	2	1182647	28.930114383775713	98.59154929577464	0.0
HIMB1506	1538266	1	1538266	29.03037908661416	98.59154929577464	1.408450704225352
HIMB1507	1478826	1	1478826	29.320922769067252	98.59154929577464	0.0
HIMB1509	1452866	2	1424097	29.169771635485148	98.59154929577464	0.0
HIMB1513	1440378	1	1440378	29.318574211005387	98.59154929577464	0.0
HIMB1518	1453237	1	1453237	29.40314329516207	98.59154929577464	0.0
HIMB1520	1324447	1	1324447	28.665584614532342	98.59154929577464	0.0
HIMB1521	1426620	34	96283	28.51832560899905	98.59154929577464	0.0
HIMB1526	1429322	1	1429322	29.195760282768074	98.59154929577464	0.0
HIMB1527	1326576	2	736407	28.915911137884446	98.59154929577464	0.0
HIMB1542	1430821	2	796544	29.246942578883058	98.59154929577464	0.0
HIMB1549	1335968	1	1335968	28.842432629055153	98.59154929577464	0.0
HIMB1552	1429048	1	1429048	29.22649700237885	98.59154929577464	0.0
HIMB1556	1464126	1	1464126	29.317205160795588	98.59154929577464	0.0
HIMB1559	1489298	1	1489298	29.28295618134739	98.59154929577464	1.408450704225352
HIMB1564	1339865	1	1339865	28.448500365753326	98.59154929577464	0.0
HIMB1573	1445467	1	1445467	29.05987317849124	98.59154929577464	0.0
HIMB1577	1444414	1	1444414	29.395081953606933	98.59154929577464	0.0
HIMB1587	1483982	2	815068	29.333950802482427	98.59154929577464	1.408450704225352
HIMB1593	1431236	1	1431236	29.34865038239406	98.59154929577464	0.0
HIMB1597	1489004	1	1489004	29.276598870491803	98.59154929577464	1.408450704225352
HIMB1611	1453538	1	1453538	29.42268041826433	98.59154929577464	0.0
HIMB1623	1468005	14	278558	29.774961243161176	98.59154929577464	0.0
HIMB1631	1444470	1	1444470	29.347797068947678	98.59154929577464	0.0
HIMB1636	1436164	1	1436164	29.307267352793115	98.59154929577464	0.0
HIMB1641	1438405	1	1438405	29.34828341793885	98.59154929577464	0.0
HIMB1662	1421355	1	1421355	29.301916513853115	98.59154929577464	0.0
HIMB1685	1455495	1	1455495	28.909408442668195	98.59154929577464	0.0
HIMB1695	1421593	2	1185658	29.376871554496258	98.59154929577464	0.0
HIMB1701	1485366	1	1485366	29.121302853872912	98.59154929577464	0.0
HIMB1702	1444148	1	1444148	29.305289057128782	98.59154929577464	0.0
HIMB1709	1426001	2	1168350	29.419386403740482	98.59154929577464	0.0
HIMB1710	1459696	3	1435827	29.325785508892316	98.59154929577464	0.0
HIMB1715	1308457	36	59426	29.296368998055954	97.1830985915493	0.0
HIMB1723	1475205	1	1475205	29.28275696841312	98.59154929577464	0.0
HIMB1746	1459268	8	271456	29.314806117184222	98.59154929577464	0.0
HIMB1748	1506003	6	861536	29.267018280490376	98.59154929577464	0.0
HIMB1758	1458764	1	1458764	29.431592658256395	98.59154929577464	0.0
HIMB1765	1436910	1	1436910	29.357723862860276	98.59154929577464	0.0
HIMB1770	1448694	1	1448694	29.432766407765993	98.59154929577464	0.0
HIMB1782	1436179	2	855577	29.343130162411914	98.59154929577464	0.0
HIMB1863	1231137	22	78266	29.44089539229736	98.59154929577464	2.816901408450704
HIMB2104	1205064	7	249324	29.853418203108635	98.59154929577464	0.0
HIMB2187	1188940	2	898854	29.214375092861694	97.1830985915493	0.0
HIMB2200	1211436	24	95189	29.163269139304308	98.59154929577464	0.0
HIMB2201	1359742	1	1359742	29.021144823807038	98.59154929577464	0.0
HIMB2204	1249462	2	782013	29.527505343365434	98.59154929577464	0.0
HIMB2211	1477755	2	1460105	29.201877342911793	98.59154929577464	0.0
HIMB2215	1224130	10	176987	29.50463332412846	94.36619718309859	0.0
HIMB2226	1193257	2	659910	29.40914529356742	98.59154929577464	0.0
HIMB2250	1330391	1	1330391	29.164044456345373	98.59154929577464	0.0
HIMB2305	1366736	29	173722	29.61470916244558	95.77464788732394	0.0
HIMB4	1382291	1	1382291	28.93146677144524	98.59154929577464	0.0
HIMB5	1343202	1	1343202	28.671772331775475	98.59154929577464	0.0
HIMB83	1395997	1	1395997	29.105528803842486	98.59154929577464	0.0
HTCC1002	1328618	4	1324008	30.153581692760095	98.59154929577464	0.0
HTCC1013	1301122	5	741014	30.03581023397829	98.59154929577464	0.0
HTCC1016	1297098	4	794419	29.72495028586655	98.59154929577464	0.0
HTCC1040	1274624	1	1274624	29.575988868064428	98.59154929577464	0.0
HTCC1062	1308759	1	1308759	29.61027639456865	98.59154929577464	0.0
HTCC7211	1456888	1	1456888	29.0142500511135	98.59154929577464	0.0
HTCC7214	1375060	1	1375060	29.243409573787027	97.1830985915493	0.0
HTCC7217	1433611	1	1433611	28.78563250157918	98.59154929577464	0.0
HTCC8051	1395018	1	1395018	29.222968943325355	98.59154929577464	0.0
HTCC9022	1360964	10	805404	30.282696082335026	98.59154929577464	0.0
HTCC9565	1279674	3	763172	28.946586305124267	97.1830985915493	0.0
NP1	1365705	1	1365705	29.57424135757974	98.59154929577464	1.408450704225352
RS39	1200090	1	1200090	29.25040353997407	98.59154929577464	0.0
RS40	1378905	1	1378905	29.422416274545682	97.1830985915493	0.0
