bins	23S_rRNA_arc	23S_rRNA_bac
FZCC0015	0	1
HIMB122	0	1
HIMB1321	0	1
HIMB140	0	1
HIMB1402	0	1
HIMB1409	0	1
HIMB1412	0	1
HIMB1413	0	1
HIMB1420	0	1
HIMB1427	0	1
HIMB1430	0	1
HIMB1436	0	1
HIMB1437	0	1
HIMB1444	0	1
HIMB1456	0	1
HIMB1483	0	1
HIMB1485	0	1
HIMB1488	0	1
HIMB1490	0	1
HIMB1491	0	1
HIMB1493	0	1
HIMB1494	0	1
HIMB1495	0	1
HIMB1505	0	1
HIMB1506	0	1
HIMB1507	0	1
HIMB1509	0	1
HIMB1513	0	1
HIMB1518	0	1
HIMB1520	0	1
HIMB1521	0	1
HIMB1526	0	1
HIMB1527	0	1
HIMB1542	0	1
HIMB1549	0	1
HIMB1552	0	1
HIMB1556	0	1
HIMB1559	0	1
HIMB1564	0	1
HIMB1573	0	1
HIMB1577	0	1
HIMB1587	0	1
HIMB1593	0	1
HIMB1597	0	1
HIMB1611	0	1
HIMB1623	0	1
HIMB1631	0	1
HIMB1636	0	1
HIMB1641	0	1
HIMB1662	0	1
HIMB1685	0	1
HIMB1695	0	1
HIMB1701	0	1
HIMB1702	0	1
HIMB1709	0	1
HIMB1710	0	1
HIMB1715	0	1
HIMB1723	0	1
HIMB1746	0	1
HIMB1748	0	1
HIMB1758	0	1
HIMB1765	0	1
HIMB1770	0	1
HIMB1782	0	1
HIMB1863	0	1
HIMB2104	0	1
HIMB2187	0	1
HIMB2200	0	1
HIMB2201	0	1
HIMB2204	0	1
HIMB2211	0	1
HIMB2215	0	1
HIMB2226	0	1
HIMB2250	0	1
HIMB2305	0	1
HIMB4	0	1
HIMB5	0	1
HIMB83	0	1
HTCC1002	0	1
HTCC1013	0	1
HTCC1016	0	1
HTCC1040	0	1
HTCC1062	0	1
HTCC7211	0	1
HTCC7214	0	1
HTCC7217	0	1
HTCC8051	0	1
HTCC9022	0	1
HTCC9565	0	1
NP1	0	1
RS39	0	1
RS40	0	1
