COG20_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_Ib.1	p_Ia.3.III	p_Ia.4.RS39	p_Ia.3.IV	p_Ia.4.1483	p_Ia.4.II	p_Ia.3.II	p_Ia.3.VI	p_Ia.3.V	p_Ia.3.I	p_Ia.1.I	N_Ib.1	N_Ia.3.III	N_Ia.4.RS39	N_Ia.3.IV	N_Ia.4.1483	N_Ia.4.II	N_Ia.3.II	N_Ia.3.VI	N_Ia.3.V	N_Ia.3.I	N_Ia.1.I
Predicted Fe-S protein YdhL, DUF1289 family (YdhL)	92.023915022548593	2.1237060810775208e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.1.I	COG3313	GC_00000924	1	1	1	1	1	1	1	1	1	0	1	2	5	4	2	1	7	6	47	8	3	7
S-formylglutathione hydrolase FrmB (FrmB) (PDB:1DQY)	92.02391502254848	2.123706081077632e-15	5.764669600980789e-14	Ia.3.I	COG0627	GC_00002770	0	0	0	0	0	0	0	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
Uncharacterized secreted protein, contains LVIVD repeats, choice-of-anchor domain	92.02391502254848	2.123706081077632e-15	5.764669600980789e-14	Ia.3.I	COG5276	GC_00002603	0	0	0	0	0	0	0	0	0	1	0	2	5	4	2	1	7	6	47	8	3	7
2-keto-4-pentenoate hydratase (MhpD) (PDB:1SV6)	92.01206281396348	2.135253292899165e-15	5.764669600980789e-14	Ib.1, Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG3971	GC_00001057, GC_00002976	1	1	1	1	0	0	1	1	0	1	1	2	5	4	2	1	7	6	47	8	3	7
Nucleoside 2-deoxyribosyltransferase (RCL) (PDB:1F8X)	92.00714124734301	2.140066600606979e-15	5.764669600980789e-14	Ia.3.III, Ia.3.IV, Ia.3.II, Ia.3.VI, Ia.3.I, Ia.1.I	COG3613	GC_00001098	0	1	0	1	0	0	1	1	0	1	1	2	5	4	2	1	7	6	47	8	3	7
Proline dehydrogenase (PutA) (PDB:5KF6)!!!Delta 1-pyrroline-5-carboxylate dehydrogenase (PutA2) (PDB:5KF6)	92.0024751051606	2.144640100539254e-15	5.764669600980789e-14	Ia.3.III	COG0506!!!COG4230	GC_00002254	0	1	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Signal-transduction protein containing cAMP-binding, CBS, and nucleotidyltransferase domains	92.0024751051606	2.144640100539254e-15	5.764669600980789e-14	Ia.3.III	COG2905	GC_00002228	0	1	0	0	0	0	0	0	0	0	0	2	5	4	2	1	7	6	47	8	3	7
Glutamate synthase domain 2 (GltB2) (PDB:1EA0)	92.0024751051603	2.1446401005395466e-15	5.764669600980789e-14	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0069	GC_00000006	1	0	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Glutamate synthase domain 3 (GltB3) (PDB:1EA0)	92.0024751051603	2.1446401005395466e-15	5.764669600980789e-14	Ib.1, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG0070	GC_00000928, GC_00001391	1	0	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
Predicted dioxygenase of extradiol dioxygenase family	92.00155499151725	2.145543096653958e-15	5.764669600980789e-14	Ia.3.III, Ia.4.RS39, Ia.3.IV, Ia.4.1483, Ia.4.II, Ia.3.II, Ia.3.VI, Ia.3.V, Ia.3.I, Ia.1.I	COG3565	GC_00000890	0	1	1	1	1	1	1	1	1	1	1	2	5	4	2	1	7	6	47	8	3	7
