bins	16S_rRNA_arc	16S_rRNA_bac	16S_rRNA_mit
FZCC0015	0	1	0
HIMB122	0	1	0
HIMB1321	0	1	0
HIMB140	0	1	0
HIMB1402	0	1	0
HIMB1409	0	1	0
HIMB1412	0	1	0
HIMB1413	0	1	0
HIMB1420	0	1	0
HIMB1427	0	1	0
HIMB1430	0	1	0
HIMB1436	0	1	0
HIMB1437	0	1	0
HIMB1444	0	1	0
HIMB1456	0	1	0
HIMB1483	0	1	0
HIMB1485	0	1	0
HIMB1488	0	1	0
HIMB1490	0	1	0
HIMB1491	0	1	0
HIMB1493	0	1	0
HIMB1494	0	1	0
HIMB1495	0	1	0
HIMB1505	0	1	0
HIMB1506	0	1	0
HIMB1507	0	1	0
HIMB1509	0	1	0
HIMB1513	0	1	0
HIMB1518	0	1	0
HIMB1520	0	1	0
HIMB1521	0	1	0
HIMB1526	0	1	0
HIMB1527	0	1	0
HIMB1542	0	1	0
HIMB1549	0	1	0
HIMB1552	0	1	0
HIMB1556	0	1	0
HIMB1559	0	1	0
HIMB1564	0	1	0
HIMB1573	0	1	0
HIMB1577	0	1	0
HIMB1587	0	1	0
HIMB1593	0	1	0
HIMB1597	0	1	0
HIMB1611	0	1	0
HIMB1623	0	1	0
HIMB1631	0	1	0
HIMB1636	0	1	0
HIMB1641	0	1	0
HIMB1662	0	1	0
HIMB1685	0	1	0
HIMB1695	0	1	0
HIMB1701	0	1	0
HIMB1702	0	1	0
HIMB1709	0	1	0
HIMB1710	0	1	0
HIMB1715	0	1	0
HIMB1723	0	1	0
HIMB1746	0	1	0
HIMB1748	0	1	0
HIMB1758	0	1	0
HIMB1765	0	1	0
HIMB1770	0	1	0
HIMB1782	0	1	0
HIMB1863	0	1	0
HIMB2104	0	1	0
HIMB2187	0	1	0
HIMB2200	0	1	0
HIMB2201	0	1	0
HIMB2204	0	1	0
HIMB2211	0	1	0
HIMB2215	0	1	0
HIMB2226	0	1	0
HIMB2250	0	1	0
HIMB2305	0	1	0
HIMB4	0	1	0
HIMB5	0	1	0
HIMB83	0	1	0
HTCC1002	0	1	0
HTCC1013	0	1	0
HTCC1016	0	1	0
HTCC1040	0	1	0
HTCC1062	0	1	0
HTCC7211	0	1	0
HTCC7214	0	1	0
HTCC7217	0	1	0
HTCC8051	0	1	0
HTCC9022	0	1	0
HTCC9565	0	1	0
NP1	0	1	0
RS39	0	1	0
RS40	0	1	0
