bins	ATP_synthase_F0_sub_a	ApbC	Beta_lactamase_like_protein	BolA_family_protein	CMP	ComA	DNA_polymerase_I	DnaA	FtsQ	GTPase_EngA	GrpE	Holliday_junction_resolvase_like	HslV	MraW	MutS	NifU	PDT	PriA	RNA_polymerase_sub_a	RadA	Ribonuclease_3	Ribosome_binding_factor_A	RimM	SDD	Tim44	TraR	UDP_N_AEPG_reductase	UDP_N_AGPPlase	YajC	YidC	YjgP_YjgQ	acpS	acyl_carrier_protein	afg1_family_ATPase	alpha_beta_hydrolase_fold	aspS	atpG	ccmC	ccmE	cell_division_trigger_factor	coaD	coaE	copper_homeostasis	cyoE	cytidylate_kinase	cytochrome_oxidase_assembly	dapD	delta_AAD	dnaA	dut_deoxyuridine_TN	engB	eno_hydratase	era	exonuclease	fabZ	folylpolyglutamate_synth	fpg	frr	ftsA	gatB	gidA	gidB	glyS	gpsA	grla	grxC	gst_glutathione_S_transferase	hemE	heme_chaperone	hydrolase_TatD_family	hypothetical_protein_01	hypothetical_protein_02	hypothetical_protein_03	hypothetical_protein_04	hypothetical_protein_05	hypothetical_protein_06	hypothetical_protein_07	hypothetical_protein_08	hypothetical_protein_09	hypothetical_protein_10	hypothetical_protein_11	hypothetical_protein_12	hypothetical_protein_13	hypothetical_protein_14	infC	iojap_protein_family	ksgA	leucyl_tRNA_synthetase	lipoate_protein_ligase_B	lipoyl_synthase	maf	malate_dehydrogenase	mesJ	metallo_beta_lactamase	methylase	miaA	mnmA	murD	murE	murF	murG	mutL	nifR3_TIM	nth_endonuclease_III	nucleoside_diphosphate_kinase	nuoJ	nuoK2	nusA	nusB	nusG	parvulin_like_PPI	peptidase_M16_related	peptidoglycan_GLYCTR	peptidyl_tRNA_hydrolase	pgk_phosphoglycerate_kinase	pgsA	phage_SPO1_related	pheT	phospho_N_APT	plsX	pnp	polyA_polymerase	porphobilinogen_deaminase	ppa	protein_S6	putative_DNA_binding	putative_zinc_metallo	pyrG	quinone_oxi	rRNA_LS_methyltransferase	recA	recF	recJ	recombination_protein_RecR	ribonuclease_E	ribosomal_protein_L1	ribosomal_protein_L11	ribosomal_protein_L13	ribosomal_protein_L14	ribosomal_protein_L15	ribosomal_protein_L17	ribosomal_protein_L18	ribosomal_protein_L19	ribosomal_protein_L2	ribosomal_protein_L21	ribosomal_protein_L22	ribosomal_protein_L23	ribosomal_protein_L24	ribosomal_protein_L27	ribosomal_protein_L28	ribosomal_protein_L3	ribosomal_protein_L4	ribosomal_protein_L5	ribosomal_protein_L6	ribosomal_protein_L9	ribosomal_protein_S10	ribosomal_protein_S11	ribosomal_protein_S12	ribosomal_protein_S13	ribosomal_protein_S14	ribosomal_protein_S15	ribosomal_protein_S16	ribosomal_protein_S17	ribosomal_protein_S18	ribosomal_protein_S19	ribosomal_protein_S2	ribosomal_protein_S20	ribosomal_protein_S3	ribosomal_protein_S4	ribosomal_protein_S5	ribosomal_protein_S7	ribosomal_protein_S8	ribosomal_protein_S9	rnhB	rplT	rpoD	rrm1	ruvA	ruvB	sdhC_556_sub	secY	serS	smpB	sucA	tRNA_guanine_N7_MT	tatc	tetrapyrrole_methylase	tgt	tmk	tolB	transcriptional_regulator	trmD	trmE	truA	truB	tryptophanyl_tRNA_synth	ubiA	ubiE	uridylate_kinase	uvrC
FZCC0015	1	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	2	1	1	0	1	2	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB122	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	2	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1321	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	2	1	1	0	1	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB140	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	2	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	2	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1402	1	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1409	1	1	1	1	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1412	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	2	1	1	1	1	0	1	1	0	3	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1413	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	1	1	1	1	1	1	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1420	1	1	1	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	2	1	1	1	1	0	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
HIMB1427	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0	1	1	0	2	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	0	1	2	1	1	1	0	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	2	1	1	1	0	1	0	1	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	0	1	3	1	1	1	1	0	1	1	0	3	1	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1	2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1
