gene_callers_id	source	accession	function	e_value
2	COG20_FUNCTION	COG3667	Uncharacterized conserved protein involved in copper resistance (PcoB)	4.24e-78
2	COG20_CATEGORY	P	Inorganic ion transport and metabolism	0
3	COG20_FUNCTION	COG2132	Multicopper oxidase with three cupredoxin domains (includes cell division protein FtsP and spore coat protein CotA) (SufI) (PDB:2YXV)	2.85e-272
3	COG20_CATEGORY	D!!!P!!!M	Cell cycle control, cell division, chromosome partitioning!!!Inorganic ion transport and metabolism!!!Cell wall/membrane/envelope biogenesis	0
4	COG20_FUNCTION	COG4454	Uncharacterized copper-binding protein, cupredoxin-like subfamily	4.11e-65
4	COG20_CATEGORY	R	General function prediction only	0
5	COG20_FUNCTION	COG0789	DNA-binding transcriptional regulator, MerR family (SoxR) (PDB:2VZ4)	5.59e-34
5	COG20_CATEGORY	K	Transcription	0
6	COG20_FUNCTION	COG3019	Uncharacterized metal-binding protein, DUF411 family	2.51e-39
6	COG20_CATEGORY	S	Function unknown	0
7	COG20_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	8.52e-43
7	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
8	COG20_FUNCTION	COG3794	Plastocyanin (PetE) (PDB:3BQV)	4.88e-34
8	COG20_CATEGORY	C	Energy production and conversion	0
9	COG20_FUNCTION	COG0682	Prolipoprotein diacylglyceryltransferase (Lgt) (PDB:5AZB)	1.07e-90
9	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
12	COG20_FUNCTION	COG4421	Capsular polysaccharide biosynthesis protein	1.7e-39
12	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
14	COG20_FUNCTION	COG4122	tRNA 5-hydroxyU34 O-methylase TrmR/YrrM (TrmR) (PDB:1H1D) (PUBMED:29982645)	7.44e-21
14	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
14	COG20_PATHWAY	COG4122	tRNA modification	7.44e-21
15	COG20_FUNCTION	COG0061	NAD kinase (NadK) (PDB:1SUW)	9.88e-74
15	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
16	COG20_FUNCTION	COG2105	Predicted gamma-glutamylamine cyclotransferase YtfP, GGCT/AIG2-like family (YtfP) (PDB:1V30) (PUBMED:16754964;20110353)	2.41e-14
16	COG20_CATEGORY	E	Amino acid transport and metabolism	0
17	COG20_FUNCTION	COG1058	ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401)	2.84e-84
17	COG20_CATEGORY	L	Replication, recombination and repair	0
18	COG20_FUNCTION	COG1489	DNA-binding protein, stimulates sugar fermentation (SfsA) (PDB:4DA2)	5.1e-78
18	COG20_CATEGORY	G!!!T	Carbohydrate transport and metabolism!!!Signal transduction mechanisms	0
19	COG20_FUNCTION	COG0024	Methionine aminopeptidase (Map) (PDB:3J2I)	5.97e-119
19	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
20	COG20_FUNCTION	COG0015	Adenylosuccinate lyase (PurB) (PDB:2HVG)	7.34e-197
20	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
20	COG20_PATHWAY	COG0015	Purine biosynthesis	7.34e-197
21	COG20_FUNCTION	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase (PurC) (PDB:1A48)	3.28e-113
21	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
21	COG20_PATHWAY	COG0152	Purine biosynthesis	3.28e-113
22	COG20_FUNCTION	COG1828	Phosphoribosylformylglycinamidine (FGAM) synthase, PurS subunit (PurS) (PDB:1GTD)	9.57e-27
22	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
22	COG20_PATHWAY	COG1828	Purine biosynthesis	9.57e-27
23	COG20_FUNCTION	COG0047	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain (PurL2) (PDB:1T3T)	2.52e-100
23	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
23	COG20_PATHWAY	COG0047	Purine biosynthesis	2.52e-100
24	COG20_FUNCTION	COG0046	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain (PurL1) (PDB:3VIU)	0
24	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
24	COG20_PATHWAY	COG0046	Purine biosynthesis	0
25	COG20_FUNCTION	COG0271	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation (BolA) (PDB:2DHM) (PUBMED:19111750;2569159)	3.27e-28
25	COG20_CATEGORY	K!!!T	Transcription!!!Signal transduction mechanisms	0
26	COG20_FUNCTION	COG0278	Glutaredoxin-related protein (GrxD) (PDB:1YKA)	2.58e-49
26	COG20_CATEGORY	O	Posttranslational modification, protein turnover, chaperones	0
27	COG20_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	1.93e-16
27	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
27	COG20_PATHWAY	COG2226	Biotin biosynthesis	1.93e-16
28	COG20_FUNCTION	COG0522	Ribosomal protein S4 or related protein (RpsD) (PDB:4V4H)	7.38e-104
28	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
28	COG20_PATHWAY	COG0522	Ribosome 30S subunit	7.38e-104
29	COG20_FUNCTION	COG0565	tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase (TrmJ) (PDB:3ONP)	1.12e-32
29	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
29	COG20_PATHWAY	COG0565	tRNA modification	1.12e-32
30	COG20_FUNCTION	COG3665	Uncharacterized conserved protein YcgI, DUF1989 family (YcgI) (PDB:3DI4)	3.02e-129
30	COG20_CATEGORY	S	Function unknown	0
31	COG20_FUNCTION	COG0119	Isopropylmalate/homocitrate/citramalate synthases (LeuA) (PDB:4JN6)	1.41e-279
31	COG20_CATEGORY	E	Amino acid transport and metabolism	0
31	COG20_PATHWAY	COG0119	Isoleucine, leucine, valine biosynthesis	1.41e-279
32	COG20_FUNCTION	COG0215	Cysteinyl-tRNA synthetase (CysS) (PDB:1LI5)	9.26e-193
32	COG20_CATEGORY	J	Translation, ribosomal structure and biogenesis	0
32	COG20_PATHWAY	COG0215	Aminoacyl-tRNA synthetases	9.26e-193
33	COG20_FUNCTION	COG0171	NH3-dependent NAD+ synthetase (NadE) (PDB:3HMQ)	3.5e-112
33	COG20_CATEGORY	H	Coenzyme transport and metabolism	0
33	COG20_PATHWAY	COG0171	NAD biosynthesis	3.5e-112
34	COG20_FUNCTION	COG3200	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase, class II (AroG2) (PDB:6BMC)	2.36e-247
34	COG20_CATEGORY	E	Amino acid transport and metabolism	0
34	COG20_PATHWAY	COG3200	Aromatic amino acid biosynthesis	2.36e-247
35	COG20_FUNCTION	COG0449	Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains (GlmS) (PDB:2J6H)	0
35	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
36	COG20_FUNCTION	COG1207	Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase (GlmU) (PDB:3FWW)	1.93e-74
36	COG20_CATEGORY	M	Cell wall/membrane/envelope biogenesis	0
37	COG20_FUNCTION	COG0546	Phosphoglycolate phosphatase, HAD superfamily (Gph) (PDB:2NYV)	3.67e-79
37	COG20_CATEGORY	C	Energy production and conversion	0
38	COG20_FUNCTION	COG2079	2-methylcitrate dehydratase PrpD (PrpD) (PDB:1SZQ)	2.55e-263
38	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
39	COG20_FUNCTION	COG2513	2-Methylisocitrate lyase and related enzymes, PEP mutase family (PrpB) (PDB:1XG3)	1.41e-145
39	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
40	COG20_FUNCTION	COG0372	Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	1.46e-168
40	COG20_CATEGORY	C	Energy production and conversion	0
40	COG20_PATHWAY	COG0372	TCA cycle	1.46e-168
41	COG20_FUNCTION	COG0208	Ribonucleotide reductase beta subunit, ferritin-like domain (NrdB) (PDB:1AV8)	1.03e-191
41	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
41	COG20_PATHWAY	COG0208	Pyrimidine salvage	1.03e-191
42	COG20_FUNCTION	COG0209	Ribonucleotide reductase alpha subunit (NrdA) (PDB:1R1R)	0
42	COG20_CATEGORY	F	Nucleotide transport and metabolism	0
42	COG20_PATHWAY	COG0209	Pyrimidine salvage	0
43	COG20_FUNCTION	COG1109	Phosphomannomutase (ManB) (PDB:6MNV)	5.64e-282
43	COG20_CATEGORY	G	Carbohydrate transport and metabolism	0
44	COG20_FUNCTION	COG0537	Purine nucleoside phosphoramidase/Ap4A hydrolase, histidine triade (HIT) family (HinT) (PDB:1AV5) (PUBMED:20934431)	7.86e-56
44	COG20_CATEGORY	F!!!R	Nucleotide transport and metabolism!!!General function prediction only	0
